nonlinearity,plot_variants,depth,width,p90_rel_l1_node_weighted,mean_mae_node_weighted,status,layers_compared,cd_npz,spice_npz,error
double_diode_exponential,all_hidden_newton;hidden_1_no_newton,3,128,1.1962630650684112e-05,1.0967500526633656e-05,ok,Layer_1;Layer_2;Layer_3;Layer_4,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_3/hidden_128/20260313-155212_double_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_3/hidden_128/excellent_trained_amp4/validation_states_spice_layers.npz,
double_diode_exponential,all_hidden_newton;hidden_1_no_newton,3,256,,,missing_spice_npz,,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_3/hidden_256/validation/20260317-161243_double_diode_exponential/validation_states.npz,,
double_diode_exponential,all_hidden_newton;hidden_1_no_newton,3,512,,,missing_spice_npz,,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_3/hidden_512/validation/20260311-185941_double_diode_exponential/validation_states.npz,,
experimental,fixed_inner_tolerance,1,64,0.0004164397012093226,0.00024087725507351867,needs_spice_update,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/redundant/20260311-172944_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/spice_validation/validation_states_spice_layers.npz,
experimental,progressive_inner_tolerance,1,64,1.5793165090031604e-05,1.0598541010678742e-05,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/20260317-113144_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/spice_validation/validation_states_spice_layers.npz,
experimental,fixed_inner_tolerance,1,128,0.11897845471436601,0.0199644908211472,needs_spice_update,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/redundant/20260312-143619_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/redundant/20260225-105452_experimental/validation_states_spice_layers.npz,
experimental,progressive_inner_tolerance,1,128,1.660018352369205e-05,2.9449136529318323e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/20260317-113144_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/redundant/20260225-105452_experimental/validation_states_spice_layers.npz,
experimental,fixed_inner_tolerance,1,256,0.00027857961496872605,0.00012658367108011394,needs_spice_update,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/redundant/20260311-173028_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/spice_validation/validation_states_spice_layers.npz,
experimental,progressive_inner_tolerance,1,256,1.283148123242519e-05,6.5338893685365266e-06,ok,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/20260317-113706_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/spice_validation/validation_states_spice_layers.npz,
experimental,fixed_inner_tolerance,1,512,0.00026493095513233816,0.0001275649123293709,needs_spice_update,Layer_1;Layer_2,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/redundant/20260311-173056_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/spice_validation/validation_states_spice_layers.npz,
