nonlinearity,plot_variant,depth,width,coord_user_time_seconds,spice_total_seconds,validation_accuracy,validation_correct,validation_total,p90_rel_l1_node_weighted,mean_mae_node_weighted,coord_source_rel_path,spice_source_rel_path,error_summary_rel_path
double_diode_exponential,hidden_1_no_newton,1,1024,4.89,1107.3490477870218,0.95,342,360,1.2737786256074457e-05,7.877132596588665e-06,hidden_1/hidden_1024/20260311-163246_double_diode_exponential_no_newton/time_digits_validate_with_residual.log,hidden_1/hidden_1024/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_1/hidden_1024/20260311-163246_double_diode_exponential_no_newton/error_npz_vs_spice
double_diode_exponential,hidden_1_no_newton,2,64,19.02,68.51403796602972,0.9388888888888889,338,360,1.7463513749644296e-05,1.814752604195504e-06,hidden_2/hidden_64/20260311-170549_double_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_64/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_2/hidden_64/20260311-170549_double_diode_exponential/error_npz_vs_spice
double_diode_exponential,hidden_1_no_newton,2,128,44.0,549.9558434470091,0.9444444444444444,340,360,1.246081780685235e-05,1.414340493564351e-05,hidden_2/hidden_128/super_high_accuracy/20260316-145914_double_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_2/hidden_128/super_high_accuracy/20260316-145914_double_diode_exponential/error_npz_vs_spice
double_diode_exponential,hidden_1_no_newton,2,256,36.48,4312.23443189892,0.9361111111111111,337,360,2.005530590736902e-05,1.5608299458345693e-06,hidden_2/hidden_256/20260311-170612_double_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_256/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_2/hidden_256/20260311-170612_double_diode_exponential/error_npz_vs_spice
double_diode_exponential,hidden_1_no_newton,2,512,61.9,51768.449848369,0.9333333333333333,336,360,,,hidden_2/hidden_512/20260311-170652_double_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_512/20260311-170652_double_diode_exponential/validation_states_spice_layers.timing.json,
double_diode_exponential,hidden_1_no_newton,2,1024,73.62,,0.8611111111111112,310,360,,,hidden_2/hidden_1024/20260311-170758_double_diode_exponential/time_digits_validate_with_residual.log,,
double_diode_exponential,hidden_1_no_newton,3,64,76.64,147.58795038494281,0.825,297,360,,,hidden_3/hidden_64/20260311-185700_double_diode_exponential/time_digits_validate_with_residual.log,hidden_3/hidden_64/validation_states_spice_layers.timing.json,
double_diode_exponential,hidden_1_no_newton,3,128,79.19,1183.5095278018853,0.9611111111111111,346,360,1.1962630650684112e-05,1.0967500526633656e-05,hidden_3/hidden_128/20260313-155212_double_diode_exponential/time_digits_validate_with_residual.log,hidden_3/hidden_128/excellent_trained_amp4/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_3/hidden_128/20260313-155212_double_diode_exponential/error_npz_vs_spice
double_diode_exponential,hidden_1_no_newton,3,256,69.34,,0.9,324,360,,,hidden_3/hidden_256/validation/20260317-161243_double_diode_exponential/time_digits_validate_with_residual.log,,
double_diode_exponential,hidden_1_no_newton,3,512,155.48,,0.9194444444444444,331,360,,,hidden_3/hidden_512/validation/20260311-185941_double_diode_exponential/time_digits_validate_with_residual.log,,
experimental,fixed_inner_tolerance,1,64,39.94,22.023331308970228,0.95,342,360,,,hidden_1/hidden_64/20260311-172944_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_64/20260311-172944_experimental/validation_states_spice_layers.timing.json,
experimental,fixed_inner_tolerance,1,128,3.19,39.070677741081454,0.9333333333333333,336,360,,,hidden_1/hidden_128/20260312-143619_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_128/validation_states_spice_layers.timing.json,
experimental,fixed_inner_tolerance,1,256,25.18,94.7898937149439,0.9555555555555556,344,360,,,hidden_1/hidden_256/20260311-173028_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_256/validation_states_spice_layers.timing.json,
experimental,fixed_inner_tolerance,1,512,22.63,311.14014074695297,0.9611111111111111,346,360,,,hidden_1/hidden_512/20260311-173056_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_512/validation_states_spice_layers.timing.json,
experimental,fixed_inner_tolerance,1,1024,21.05,1094.951770302141,0.95,342,360,,,hidden_1/hidden_1024/20260311-173123_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_1024/validation_states_spice_layers.timing.json,
experimental,fixed_inner_tolerance,2,64,12.4,61.481018747901544,0.9388888888888889,338,360,,,hidden_2/hidden_64/20260311-171025_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_64/20260311-171025_experimental/validation_states_spice_layers.timing.json,
experimental,fixed_inner_tolerance,2,128,30.26,543.7305558170192,0.9444444444444444,340,360,0.0009199397899910195,0.0010350432045027479,hidden_2/hidden_128/20260312-114258_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.timing.json,experimental/hidden_2/hidden_128/20260312-114258_experimental/error_npz_vs_spice
experimental,fixed_inner_tolerance,2,256,14.66,4301.242321081925,0.9361111111111111,337,360,,,hidden_2/hidden_256/20260311-171041_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_256/20260311-171041_experimental/validation_states_spice_layers.timing.json,
experimental,fixed_inner_tolerance,2,512,22.69,,0.9333333333333333,336,360,,,hidden_2/hidden_512/20260311-171059_experimental/time_digits_validate_with_residual.log,,
experimental,fixed_inner_tolerance,2,1024,24.97,,0.8611111111111112,310,360,,,hidden_2/hidden_1024/20260311-171126_experimental/time_digits_validate_with_residual.log,,
experimental,fixed_inner_tolerance,3,64,20.85,165.07923992117867,0.825,297,360,1.272795072927572e-05,2.1291043656664604e-05,hidden_3/hidden_64/validation/20260313-125137_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_64/validation_states_spice_layers.timing.json,experimental/hidden_3/hidden_64/validation/20260313-125137_experimental/error_npz_vs_spice
experimental,fixed_inner_tolerance,3,128,38.66,1131.4812394059263,0.9611111111111111,346,360,1.4852313428213184e-05,1.2503753630455078e-05,hidden_3/hidden_128/amp_4/validation/20260313-125308_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_128/amp_4/validation_states_spice_layers.timing.json,experimental/hidden_3/hidden_128/amp_4/validation/20260313-125308_experimental/error_npz_vs_spice
experimental,fixed_inner_tolerance,3,256,13.07,13723.796278140042,0.8277777777777777,298,360,,,hidden_3/hidden_256/validation/20260313-125843_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_256/validation_states_spice_layers.timing.json,
experimental,progressive_inner_tolerance,1,64,5.10,22.023331308970228,0.95,342,360,,,hidden_1/hidden_64/20260317-113144_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_64/redundant/20260311-172944_experimental/validation_states_spice_layers.timing.json,
experimental,progressive_inner_tolerance,1,128,1.29,39.070677741081454,0.9166666666666666,330,360,,,hidden_1/hidden_128/20260317-113144_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_128/validation_states_spice_layers.timing.json,
experimental,progressive_inner_tolerance,1,256,3.67,94.7898937149439,0.9555555555555556,344,360,,,hidden_1/hidden_256/20260317-113706_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_256/validation_states_spice_layers.timing.json,
experimental,progressive_inner_tolerance,1,512,3.84,311.14014074695297,0.9611111111111111,346,360,,,hidden_1/hidden_512/20260317-113706_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_512/validation_states_spice_layers.timing.json,
experimental,progressive_inner_tolerance,1,1024,4.54,1094.951770302141,0.95,342,360,,,hidden_1/hidden_1024/20260317-113706_experimental/time_digits_validate_with_residual.log,hidden_1/hidden_1024/validation_states_spice_layers.timing.json,
experimental,progressive_inner_tolerance,2,64,12.45,61.481018747901544,0.9388888888888889,338,360,,,hidden_2/hidden_64/20260313-150228_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_64/20260311-171025_experimental/validation_states_spice_layers.timing.json,
experimental,progressive_inner_tolerance,2,128,14.69,543.7305558170192,0.9444444444444444,340,360,1.3533619079228063e-05,1.483449324236207e-05,hidden_2/hidden_128/20260313-150244_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.timing.json,experimental/hidden_2/hidden_128/20260313-150244_experimental/error_npz_vs_spice
experimental,progressive_inner_tolerance,2,256,14.37,4301.242321081925,0.9361111111111111,337,360,,,hidden_2/hidden_256/20260313-150302_experimental/time_digits_validate_with_residual.log,hidden_2/hidden_256/20260311-171041_experimental/validation_states_spice_layers.timing.json,
experimental,progressive_inner_tolerance,2,512,22.35,,0.9333333333333333,336,360,,,hidden_2/hidden_512/20260313-150320_experimental/time_digits_validate_with_residual.log,,
experimental,progressive_inner_tolerance,2,1024,25.94,,0.8611111111111112,310,360,,,hidden_2/hidden_1024/20260313-150347_experimental/time_digits_validate_with_residual.log,,
experimental,progressive_inner_tolerance,3,64,23.85,165.07923992117867,0.825,297,360,1.272795072927572e-05,2.129106380315559e-05,hidden_3/hidden_64/validation/20260313-151007_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_64/validation_states_spice_layers.timing.json,experimental/hidden_3/hidden_64/validation/20260313-151007_experimental/error_npz_vs_spice
experimental,progressive_inner_tolerance,3,128,41.67,1131.4812394059263,0.9611111111111111,346,360,1.4852313428213184e-05,1.2503477076768561e-05,hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_128/amp_4/validation_states_spice_layers.timing.json,experimental/hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/error_npz_vs_spice
experimental,progressive_inner_tolerance,3,256,13.40,13723.796278140042,0.9166666666666666,330,360,0.0632856452341136,0.04324670615664648,hidden_3/hidden_256/validation/20260317-161514_experimental/time_digits_validate_with_residual.log,hidden_3/hidden_256/validation_states_spice_layers.timing.json,experimental/hidden_3/hidden_256/validation/20260317-161514_experimental/error_npz_vs_spice
experimental,progressive_inner_tolerance,3,512,36.27,,0.9194444444444444,331,360,,,hidden_3/hidden_512/validation/20260313-171929_experimental/time_digits_validate_with_residual.log,,
single_diode_exponential,main,1,64,6.31,23.396054319106042,0.725,261,360,0.06849977464065758,0.07661082418131966,hidden_1/hidden_64/20260317-170659_single_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_64/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_1/hidden_64/20260317-170659_single_diode_exponential/error_npz_vs_spice
single_diode_exponential,main,1,128,10.31,35.64854090393055,0.95,342,360,,,hidden_1/hidden_128/20260316-172522_single_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_128/validation_states_spice_layers.timing.json,
single_diode_exponential,main,1,256,11.75,69.38601060211658,0.9555555555555556,344,360,1.6334111355152485e-05,1.8776623254856095e-05,hidden_1/hidden_256/20260311-170349_single_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_256/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_1/hidden_256/20260311-170349_single_diode_exponential/error_npz_vs_spice
single_diode_exponential,main,1,512,10.68,198.34174450021237,0.9638888888888889,347,360,1.1642279633887151e-05,5.57901374618997e-06,hidden_1/hidden_512/20260311-170405_single_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_512/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_1/hidden_512/20260311-170405_single_diode_exponential/error_npz_vs_spice
single_diode_exponential,main,1,1024,10.96,793.8469280702993,0.975,351,360,1.1352281270289233e-05,5.767244471884173e-06,hidden_1/hidden_1024/20260311-170419_single_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_1024/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_1/hidden_1024/20260311-170419_single_diode_exponential/error_npz_vs_spice
single_diode_exponential,main,2,64,23.64,78.3196492609568,0.8555555555555555,308,360,0.10335948880652478,0.025988195260342118,hidden_2/hidden_64/20260317-103528_single_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_64/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_2/hidden_64/20260317-103528_single_diode_exponential/error_npz_vs_spice
single_diode_exponential,main,2,128,24.94,477.83643113891594,0.9388888888888889,338,360,1.0785640628131756e-05,4.589455741375594e-06,hidden_2/hidden_128/20260314-160910_single_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_128/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_2/hidden_128/20260314-160910_single_diode_exponential/error_npz_vs_spice
single_diode_exponential,main,2,256,22.35,4229.170036679134,0.8944444444444445,322,360,0.5709201367246044,0.037789844577016986,hidden_2/hidden_256/20260317-094836_single_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_256/validation_states_spice_layers.timing.json,single_diode_exponential/hidden_2/hidden_256/20260317-094836_single_diode_exponential/error_npz_vs_spice
single_diode_exponential,main,2,512,41.15,,0.8361111111111111,301,360,,,hidden_2/hidden_512/20260317-105922_single_diode_exponential/time_digits_validate_with_residual.log,,
single_diode_exponential,main,2,1024,36.14,,0.9305555555555556,335,360,,,hidden_2/hidden_1024/20260317-110028_single_diode_exponential/time_digits_validate_with_residual.log,,
