status,nonlinearity,run_dir,run_npz,spice_npz,output_dir,run_npz_exists,spice_npz_exists,node_weighted_p50,node_weighted_p90,node_weighted_p99,avg_p50,avg_p90,avg_p99,returncode,stderr,stdout
ok,double_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_3/hidden_128/20260313-155212_double_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_3/hidden_128/20260313-155212_double_diode_exponential/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_3/hidden_128/excellent_trained_amp4/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_3/hidden_128/20260313-155212_double_diode_exponential/error_npz_vs_spice,,,,,,,,,,,
ok,double_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_64/20260311-163222_double_diode_exponential_no_newton,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_64/20260311-163222_double_diode_exponential_no_newton/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_64/validation/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_64/20260311-163222_double_diode_exponential_no_newton/error_npz_vs_spice,,,,,,,,,,,
ok,double_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_256/20260311-163230_double_diode_exponential_no_newton,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_256/20260311-163230_double_diode_exponential_no_newton/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_256/validation/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_256/20260311-163230_double_diode_exponential_no_newton/error_npz_vs_spice,,,,,,,,,,,
ok,double_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_512/20260311-163238_double_diode_exponential_no_newton,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_512/20260311-163238_double_diode_exponential_no_newton/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_512/validation/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_512/20260311-163238_double_diode_exponential_no_newton/error_npz_vs_spice,,,,,,,,,,,
ok,double_diode_exponential,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_1024/20260311-163246_double_diode_exponential_no_newton,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_1024/20260311-163246_double_diode_exponential_no_newton/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_1024/validation/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/double_diode_exponential/hidden_1/hidden_1024/20260311-163246_double_diode_exponential_no_newton/error_npz_vs_spice,,,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/20260311-172944_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/20260311-172944_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/20260311-172944_experimental/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_64/20260311-172944_experimental/error_npz_vs_spice,False,False,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/20260312-143619_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/20260312-143619_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_128/20260312-143619_experimental/error_npz_vs_spice,False,False,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/20260311-173028_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/20260311-173028_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_256/20260311-173028_experimental/error_npz_vs_spice,False,False,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/20260311-173056_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/20260311-173056_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_512/20260311-173056_experimental/error_npz_vs_spice,False,False,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/20260311-173123_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/20260311-173123_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_1/hidden_1024/20260311-173123_experimental/error_npz_vs_spice,False,False,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260311-171025_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260311-171025_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260311-171025_experimental/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_64/20260311-171025_experimental/error_npz_vs_spice,True,False,,,,,,,,,
ok,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/20260312-114258_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/20260312-114258_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_128/20260312-114258_experimental/error_npz_vs_spice,,,,,,,,,,,
missing_input,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260311-171041_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260311-171041_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260311-171041_experimental/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_2/hidden_256/20260311-171041_experimental/error_npz_vs_spice,True,False,,,,,,,,,
ok,experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation/20260313-125137_experimental,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation/20260313-125137_experimental/validation_states.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation_states_spice_layers.npz,/home/filip/server_code/labs/figures_for_paper_digits/timings/experimental/hidden_3/hidden_64/validation/20260313-125137_experimental/error_npz_vs_spice,,,,,,,,,,,
