status,nonlinearity,plot_variant,depth,width,coord_source_rel_path,spice_source_rel_path,output_rel_path,p90_rel_l1_node_weighted,mean_mae_node_weighted,note
ok,double_diode_exponential,hidden_1_no_newton,1,64,hidden_1/hidden_64/20260311-163222_double_diode_exponential_no_newton/time_digits_validate_with_residual.log,hidden_1/hidden_64/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_1/hidden_64/20260311-163222_double_diode_exponential_no_newton/error_npz_vs_spice,1.4630043344923876e-05,9.716709775986855e-06,
ok,double_diode_exponential,hidden_1_no_newton,1,128,hidden_1/hidden_128/20260311-162256_double_diode_exponential/time_digits_validate_with_residual.log,hidden_1/hidden_128/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_1/hidden_128/20260311-162256_double_diode_exponential/error_npz_vs_spice,9.898573083257389e-06,1.8685193673716237e-06,
ok,double_diode_exponential,hidden_1_no_newton,1,256,hidden_1/hidden_256/20260311-163230_double_diode_exponential_no_newton/time_digits_validate_with_residual.log,hidden_1/hidden_256/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_1/hidden_256/20260311-163230_double_diode_exponential_no_newton/error_npz_vs_spice,1.255430319654261e-05,6.36600590645367e-06,
ok,double_diode_exponential,hidden_1_no_newton,1,512,hidden_1/hidden_512/20260311-163238_double_diode_exponential_no_newton/time_digits_validate_with_residual.log,hidden_1/hidden_512/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_1/hidden_512/20260311-163238_double_diode_exponential_no_newton/error_npz_vs_spice,1.2466420753623632e-05,6.834995144625097e-06,
ok,double_diode_exponential,hidden_1_no_newton,1,1024,hidden_1/hidden_1024/20260311-163246_double_diode_exponential_no_newton/time_digits_validate_with_residual.log,hidden_1/hidden_1024/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_1/hidden_1024/20260311-163246_double_diode_exponential_no_newton/error_npz_vs_spice,1.2737786256074457e-05,7.877132596588665e-06,
ok,double_diode_exponential,hidden_1_no_newton,2,64,hidden_2/hidden_64/20260311-170549_double_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_64/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_2/hidden_64/20260311-170549_double_diode_exponential/error_npz_vs_spice,1.7463513749644296e-05,1.814752604195504e-06,
ok,double_diode_exponential,hidden_1_no_newton,2,128,hidden_2/hidden_128/super_high_accuracy/20260316-145914_double_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_128/super_high_accuracy/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_2/hidden_128/super_high_accuracy/20260316-145914_double_diode_exponential/error_npz_vs_spice,1.246081780685235e-05,1.414340493564351e-05,
ok,double_diode_exponential,hidden_1_no_newton,2,256,hidden_2/hidden_256/20260311-170612_double_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_256/validation/validation_states_spice_layers.timing.json,double_diode_exponential/hidden_2/hidden_256/20260311-170612_double_diode_exponential/error_npz_vs_spice,2.005530590736902e-05,1.5608299458345693e-06,
missing_or_failed,double_diode_exponential,hidden_1_no_newton,2,512,hidden_2/hidden_512/20260311-170652_double_diode_exponential/time_digits_validate_with_residual.log,hidden_2/hidden_512/20260311-170652_double_diode_exponential/validation_states_spice_layers.timing.json,,,,
no_spice_path,double_diode_exponential,hidden_1_no_newton,2,1024,hidden_2/hidden_1024/20260311-170758_double_diode_exponential/time_digits_validate_with_residual.log,,,,,
