nonlinearity,hidden_layers,hidden_size,cd_runtime_seconds,spice_runtime_seconds,speedup_vs_spice,average_outer_iterations,average_inner_iterations_per_call,total_inner_iterations,coord_metadata_rel_path,spice_source_rel_path
experimental,2,512,11.82926631718874,52009.10704533104,4396.646896837399,61.986111111111114,1.0,44630,hidden_2/hidden_512/20260313-150320_experimental/codex_cpu_rerun/20260320-133425_experimental/validation_metadata.json,/home/filip/paper_simulation_results_/digits_simulations/experimental/hidden_2/hidden_512/validation/validation_states_spice_layers.timing.json
experimental,3,64,6.900183388963342,165.07923992117867,23.923891672968935,7.425,15.819179448809079,126854,hidden_3/hidden_64/validation/20260313-151007_experimental/codex_cpu_rerun/20260320-133506_experimental/validation_metadata.json,hidden_3/hidden_64/validation_states_spice_layers.timing.json
experimental,3,128,12.899679130874574,1131.4812394059263,87.71390574342247,26.23611111111111,6.905417328392447,195665,hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/codex_cpu_rerun/20260320-133516_experimental/validation_metadata.json,hidden_3/hidden_128/amp_4/validation_states_spice_layers.timing.json
experimental,3,256,5.3481221543625,13723.796278140042,2566.096263703597,13.166666666666666,3.642897327707454,51802,hidden_3/hidden_256/validation/20260313-151121_experimental/codex_cpu_rerun/20260320-133532_experimental/validation_metadata.json,hidden_3/hidden_256/validation_states_spice_layers.timing.json
single_diode_exponential,1,64,2.1570780938491225,22.600482965819538,10.477359642316378,5.544444444444444,2.0,7984,hidden_1/hidden_64/20260317-170659_single_diode_exponential/codex_cpu_rerun/20260319-151912_single_diode_exponential/validation_metadata.json,hidden_1/hidden_64/validation_states_spice_layers.timing.json
single_diode_exponential,1,128,3.639927822165191,30.891481618396938,8.486839060457333,9.0,2.0,12960,hidden_1/hidden_128/20260316-172522_single_diode_exponential/codex_cpu_rerun/20260319-151919_single_diode_exponential/validation_metadata.json,hidden_1/hidden_128/validation_states_spice_layers.timing.json
single_diode_exponential,1,256,2.6082527805119753,69.38601060211658,26.60248696773047,5.872222222222222,2.0,8456,hidden_1/hidden_256/20260311-170349_single_diode_exponential/codex_cpu_rerun/20260319-151927_single_diode_exponential/validation_metadata.json,hidden_1/hidden_256/validation_states_spice_layers.timing.json
single_diode_exponential,1,512,2.5246123326942325,198.34174450021237,78.56324788231733,5.472222222222222,1.9931472081218273,7853,hidden_1/hidden_512/20260311-170405_single_diode_exponential/codex_cpu_rerun_use_polish_true/20260320-170655_single_diode_exponential/validation_metadata.json,hidden_1/hidden_512/validation_states_spice_layers.timing.json
single_diode_exponential,1,1024,2.6209905799478292,793.8469280702993,302.88049645951065,5.108333333333333,2.0,7356,hidden_1/hidden_1024/20260311-170419_single_diode_exponential/codex_cpu_rerun/20260319-151941_single_diode_exponential/validation_metadata.json,hidden_1/hidden_1024/validation_states_spice_layers.timing.json
single_diode_exponential,2,64,7.80562146473676,76.6610030089505,9.821255534268449,15.169444444444444,1.4004303241164622,30591,hidden_2/hidden_64/20260317-103528_single_diode_exponential/codex_cpu_rerun/20260319-114011_single_diode_exponential/validation_metadata.json,hidden_2/hidden_64/validation_states_spice_layers.timing.json
single_diode_exponential,2,128,7.581706562079489,477.83643113891594,63.024917573156024,14.877777777777778,1.0832710978342046,23208,hidden_2/hidden_128/20260314-160910_single_diode_exponential/codex_cpu_rerun/20260319-114106_single_diode_exponential/validation_metadata.json,hidden_2/hidden_128/validation_states_spice_layers.timing.json
single_diode_exponential,2,256,10.335061233490705,4293.154445757158,415.39709816572895,21.461111111111112,1.0,30904,hidden_2/hidden_256/20260317-094836_single_diode_exponential/codex_cpu_rerun/20260319-114203_single_diode_exponential/validation_metadata.json,hidden_2/hidden_256/validation_states_spice_layers.timing.json
single_diode_exponential,3,64,37.486092486418784,172.43416523188353,4.599950376112326,57.675,1.143115156769253,142407,hidden_3/hidden_64/codex_cpu_rerun/20260319-100810_single_diode_exponential/validation_metadata.json,hidden_3/hidden_64/validation_states_spice_layers.timing.json
single_diode_exponential,3,128,15.560175705701113,1660.8683615187183,106.73840661774729,17.030555555555555,1.749932039362801,64373,hidden_3/hidden_128/codex_cpu_rerun/20260319-155148_single_diode_exponential/validation_metadata.json,hidden_3/hidden_128/validation_states_spice_layers.timing.json
