nonlinearity,hidden_layers,hidden_size,mean_absolute_error,p50_relative_error,p90_relative_error,p99_relative_error,error_summary_rel_path
experimental,3,64,2.1286864220317202e-05,1.2033111895484657e-05,1.2733730329452698e-05,1.3694128176242633e-05,hidden_3/hidden_64/validation/20260313-151007_experimental/codex_cpu_rerun/20260320-133506_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
experimental,3,128,1.2426087131682079e-05,1.2170634006590766e-05,1.4610225998034376e-05,2.0558166512414312e-05,hidden_3/hidden_128/amp_4/validation/20260313-151035_experimental/codex_cpu_rerun/20260320-133516_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
experimental,3,256,1.0395526143378075e-05,1.1413845965669577e-05,1.191696326205418e-05,1.227180712243008e-05,hidden_3/hidden_256/validation/20260313-151121_experimental/codex_cpu_rerun/20260320-133532_experimental/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,1,64,2.0204318505415837e-05,1.457652314562371e-05,1.5995869705375342e-05,1.7109032708661573e-05,hidden_1/hidden_64/20260317-170659_single_diode_exponential/codex_cpu_rerun/20260319-151912_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,1,128,1.8576885073082403e-05,1.5055668232335623e-05,1.6143896162207425e-05,1.7065251152072806e-05,hidden_1/hidden_128/20260316-172522_single_diode_exponential/codex_cpu_rerun/20260319-151919_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,1,256,1.8790781479463353e-05,1.555061784145144e-05,1.6350767378955154e-05,1.6998134698377834e-05,hidden_1/hidden_256/20260311-170349_single_diode_exponential/codex_cpu_rerun/20260319-151927_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,1,512,5.613628964762014e-06,1.0979821457212876e-05,1.1719569620999373e-05,1.2350472764238087e-05,hidden_1/hidden_512/20260311-170405_single_diode_exponential/codex_cpu_rerun_use_polish_true/20260320-170655_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,1,1024,5.7889892430698675e-06,1.0753133923032163e-05,1.137923162770414e-05,1.2079560140850979e-05,hidden_1/hidden_1024/20260311-170419_single_diode_exponential/codex_cpu_rerun/20260319-151941_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,2,64,4.1147218591821955e-06,1.1770831974013944e-05,1.3930287740817752e-05,1.6364492152895373e-05,hidden_2/hidden_64/20260317-103528_single_diode_exponential/codex_cpu_rerun/20260319-114011_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,2,128,4.58793437335513e-06,9.672950612805535e-06,1.0767414035517006e-05,1.2105147873846108e-05,hidden_2/hidden_128/20260314-160910_single_diode_exponential/codex_cpu_rerun/20260319-114106_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,2,256,1.8539892423818197e-06,1.749361246965578e-05,1.9885115437205283e-05,2.1248936968954735e-05,hidden_2/hidden_256/20260317-094836_single_diode_exponential/codex_cpu_rerun/20260319-114203_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,3,64,2.335738607260126e-05,4.7381199660700244e-05,5.724255903885827e-05,6.657937398717323e-05,hidden_3/hidden_64/codex_cpu_rerun/20260319-100810_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
single_diode_exponential,3,128,1.3906441809330438e-05,1.5073222145283115e-05,1.5976569001754165e-05,1.655292614447862e-05,hidden_3/hidden_128/codex_cpu_rerun/20260319-155148_single_diode_exponential/error_npz_vs_spice/cross_layer_rel_l1_percentiles_node_weighted.json
