epoch,checkpoint_role,layer_index,parameter,sigma,n_comparisons,bptt_cosine_n_defined,bptt_cosine_mean,bptt_cosine_median,bptt_cosine_p10,bptt_cosine_p90,bptt_cosine_std,bptt_estimate_l2_n_defined,bptt_estimate_l2_mean,bptt_estimate_l2_median,bptt_estimate_l2_p10,bptt_estimate_l2_p90,bptt_estimate_l2_std,bptt_reference_l2_n_defined,bptt_reference_l2_mean,bptt_reference_l2_median,bptt_reference_l2_p10,bptt_reference_l2_p90,bptt_reference_l2_std,bptt_relative_l2_error_n_defined,bptt_relative_l2_error_mean,bptt_relative_l2_error_median,bptt_relative_l2_error_p10,bptt_relative_l2_error_p90,bptt_relative_l2_error_std,bptt_norm_ratio_n_defined,bptt_norm_ratio_mean,bptt_norm_ratio_median,bptt_norm_ratio_p10,bptt_norm_ratio_p90,bptt_norm_ratio_std,bptt_estimate_zero_fraction_n_defined,bptt_estimate_zero_fraction_mean,bptt_estimate_zero_fraction_median,bptt_estimate_zero_fraction_p10,bptt_estimate_zero_fraction_p90,bptt_estimate_zero_fraction_std,bptt_reference_zero_fraction_n_defined,bptt_reference_zero_fraction_mean,bptt_reference_zero_fraction_median,bptt_reference_zero_fraction_p10,bptt_reference_zero_fraction_p90,bptt_reference_zero_fraction_std,clean_ep_cosine_n_defined,clean_ep_cosine_mean,clean_ep_cosine_median,clean_ep_cosine_p10,clean_ep_cosine_p90,clean_ep_cosine_std,clean_ep_estimate_l2_n_defined,clean_ep_estimate_l2_mean,clean_ep_estimate_l2_median,clean_ep_estimate_l2_p10,clean_ep_estimate_l2_p90,clean_ep_estimate_l2_std,clean_ep_reference_l2_n_defined,clean_ep_reference_l2_mean,clean_ep_reference_l2_median,clean_ep_reference_l2_p10,clean_ep_reference_l2_p90,clean_ep_reference_l2_std,clean_ep_relative_l2_error_n_defined,clean_ep_relative_l2_error_mean,clean_ep_relative_l2_error_median,clean_ep_relative_l2_error_p10,clean_ep_relative_l2_error_p90,clean_ep_relative_l2_error_std,clean_ep_norm_ratio_n_defined,clean_ep_norm_ratio_mean,clean_ep_norm_ratio_median,clean_ep_norm_ratio_p10,clean_ep_norm_ratio_p90,clean_ep_norm_ratio_std,clean_ep_estimate_zero_fraction_n_defined,clean_ep_estimate_zero_fraction_mean,clean_ep_estimate_zero_fraction_median,clean_ep_estimate_zero_fraction_p10,clean_ep_estimate_zero_fraction_p90,clean_ep_estimate_zero_fraction_std,clean_ep_reference_zero_fraction_n_defined,clean_ep_reference_zero_fraction_mean,clean_ep_reference_zero_fraction_median,clean_ep_reference_zero_fraction_p10,clean_ep_reference_zero_fraction_p90,clean_ep_reference_zero_fraction_std,projection_onto_clean_n_defined,projection_onto_clean_mean,projection_onto_clean_median,projection_onto_clean_p10,projection_onto_clean_p90,projection_onto_clean_std
0,Initialization (epoch 0),0,ConvWeight_0,0.0,36,36,0.9989923955730826,0.9997110701225108,0.9972233355485496,0.9999487767289028,0.0013849397847671438,36,0.001483834361405036,0.0012117125548182562,0.0007920998565143669,0.002571292752050006,0.0007315736836289983,36,0.001485342798524396,0.0011995501479382322,0.0008006429835020026,0.0025768215714323094,0.0007351228706475169,36,0.04264768726603022,0.0334051095678954,0.012401714725115233,0.07861387238351075,0.02861576450072961,36,0.9995960544638876,0.9953246017720878,0.9743959768615305,1.0369507662131285,0.025078234654517587,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0000000000000002,1.4414587323765566e-16,36,0.001483834361405036,0.0012117125548182562,0.0007920998565143669,0.002571292752050006,0.0007315736836289983,36,0.001483834361405036,0.0012117125548182562,0.0007920998565143669,0.002571292752050006,0.0007315736836289983,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0000000000000002,1.4414587323765566e-16
0,Initialization (epoch 0),0,ConvWeight_0,1e-05,288,288,0.1625535698793702,0.16135942016793425,0.01278355465993618,0.324406246448837,0.12174175687789894,288,0.009205082441796084,0.009143641326692632,0.0083267708994899,0.010104611722871812,0.0006799092029126793,288,0.0014853427985243963,0.0011995501479382322,0.0007878990505065168,0.0026486405372070946,0.0007261026165125602,288,7.561951160895429,7.59304363917725,3.3955803439227776,11.474240018958948,3.623060385458919,288,7.645320535179873,7.611247600849275,3.534236383488749,11.461378705747984,3.5833133706643996,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.16286516349387203,0.16245341037955396,0.012783430814710488,0.3244191618117916,0.12161725763546653,288,0.009205082441796084,0.009143641326692632,0.0083267708994899,0.010104611722871812,0.0006799092029126793,288,0.001483834361405036,0.0012117125548182562,0.0007729316644364791,0.0026224190925892045,0.0007225969794503249,288,7.572910518189851,7.453426667976506,3.372469624180624,11.667375096735869,3.669657062554285,288,7.65666380287392,7.521000876937666,3.5098982503818057,11.664736003740455,3.6303474664682356,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9947815169763419,1.0199153692593779,0.14802565783297336,1.8291915253379785,0.7126866450883886
0,Initialization (epoch 0),0,ConvWeight_0,3e-05,288,288,0.05701948693514322,0.055984605374093825,-0.07093001946822089,0.19177260721476078,0.09905831118995408,288,0.027205156874131928,0.027112283381000676,0.02468447939716455,0.029869362049735535,0.002036930915513977,288,0.0014853427985243963,0.0011995501479382322,0.0007878990505065168,0.0026486405372070946,0.0007261026165125602,288,22.685004879515734,22.7787413683373,10.185599298754058,34.420219990580215,10.868385812215557,288,22.714744725072073,22.75443614963406,10.177198576405436,34.35464371150254,10.850023809637602,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.05725786911375094,0.057953425453954814,-0.06577105678732856,0.19150475603976774,0.09904885928866562,288,0.027205156874131928,0.027112283381000676,0.02468447939716455,0.029869362049735535,0.002036930915513977,288,0.001483834361405036,0.0012117125548182562,0.0007729316644364791,0.0026224190925892045,0.0007225969794503249,288,22.71873155738476,22.36028001166045,10.117408853716364,35.00212523854346,11.00897119120841,288,22.7487339133457,22.36706336524868,10.163791115998038,34.953035001992355,10.990933848265577,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9843445492131662,1.0597461252878526,-1.555923044189447,3.4875745677674357,2.1380599344484286
0,Initialization (epoch 0),0,ConvWeight_0,0.0001,288,288,0.01887569488835136,0.019573040304566566,-0.1015931208499285,0.1437037463294472,0.09508945161681757,288,0.09051478505986643,0.09032872935459897,0.08203599469413468,0.09976309577090593,0.0068139624400577825,288,0.0014853427985243963,0.0011995501479382322,0.0007878990505065168,0.0026486405372070946,0.0007261026165125602,288,75.61601817211476,75.92872809270344,33.95072487471334,114.73098870859364,36.22710399197267,288,75.62667486639108,75.98843401350183,33.9524860094259,114.65995772183551,36.216540346067006,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.019087936314403364,0.016903905663111944,-0.10093390344306384,0.14412743008553008,0.09512486572947362,288,0.09051478505986643,0.09032872935459897,0.08203599469413468,0.09976309577090593,0.0068139624400577825,288,0.001483834361405036,0.0012117125548182562,0.0007729316644364791,0.0026224190925892045,0.0007225969794503249,288,75.72910520888666,74.53426647567164,33.72469610505668,116.67375010146574,36.69657065300388,288,75.73998137853636,74.49211741370942,33.73660946138203,116.61468140220818,36.6862904243343,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.94781515441387,1.1991538175741567,-7.519743656246034,9.291914973773403,7.126866444359535
0,Initialization (epoch 0),0,ConvWeight_0,0.0003,288,288,0.007934020713252533,0.008439412124158302,-0.11204965309906076,0.13397245541003752,0.09453764768502684,288,0.27149000081775415,0.27082573979635893,0.24584275961522947,0.29940293583510985,0.020456131079191257,288,0.0014853427985243963,0.0011995501479382322,0.0007878990505065168,0.0026486405372070946,0.0007261026165125602,288,226.84757777364655,227.78584494600338,101.85109907988034,344.19016908500146,108.68060721731989,288,226.85277080588912,227.88703883768866,101.84315980948473,344.11633210290825,108.67228280636732,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.008138762249643307,0.009316372785003782,-0.11147892117163126,0.13433698163071522,0.09458547063984739,288,0.27149000081775415,0.27082573979635893,0.24584275961522947,0.29940293583510985,0.020456131079191257,288,0.001483834361405036,0.0012117125548182562,0.0007729316644364791,0.0026224190925892045,0.0007225969794503249,288,227.187315760196,223.60279759111717,101.17408756619915,350.02124453001903,110.08971204869961,288,227.19271594465837,223.48207158755085,101.1761249193247,349.9593287624884,110.08165922375738,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.8434453661659094,1.5974620259109962,-24.559232790834823,25.875742923887508,21.380599297519044
0,Initialization (epoch 0),0,ConvWeight_0,0.0005,288,288,0.005744720111500694,0.005607767003361245,-0.11324252611644751,0.13143190158427656,0.09446028813709513,288,0.4524732904169045,0.45139110187421555,0.4096547829764145,0.4990528685237282,0.03409757299744439,288,0.0014853427985243963,0.0011995501479382322,0.0007878990505065168,0.0026486405372070946,0.0007261026165125602,288,378.07914581743535,379.6429617004361,169.751472473745,573.6493572157988,181.13411257732437,288,378.0832458513039,379.7627034247023,169.74159324234492,573.5749593116852,181.12623625874758,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.005947960431394165,0.007770796730228282,-0.11280950970973981,0.13191753179512905,0.09451054823942073,288,0.4524732904169045,0.45139110187421555,0.4096547829764145,0.4990528685237282,0.03409757299744439,288,0.001483834361405036,0.0012117125548182562,0.0007729316644364791,0.0026224190925892045,0.0007225969794503249,288,378.6455264922389,372.6713262324804,168.6234780507112,583.3687312570236,183.48285356180764,288,378.6498312127557,372.54973728681455,168.62353981128138,583.3062463242335,183.47524646268593,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.7390754425745582,1.9957709734762643,-41.598724350217594,42.45956817930711,35.634332108416906
0,Initialization (epoch 0),1,ConvWeight_1,0.0,36,36,0.9996372515149378,0.9996756967184607,0.9994558543141326,0.9998337101828699,0.0002144303831391934,36,0.0007620216980846043,0.0007370477106014828,0.0006616653046970971,0.0009348887939661698,0.00011402934572823151,36,0.0007622751483832573,0.0007368585064259206,0.0006619072658954753,0.000930330318270285,0.00011456237700958134,36,0.026347630640821962,0.025783161299701315,0.018598231312879264,0.035202951114437206,0.007317610094652548,36,0.9997538763755125,0.9995157163717714,0.9955250484351477,1.0057749422238853,0.004660927361047434,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,0.9999999999999998,1.0000000000000002,1.32697032177375e-16,36,0.0007620216980846043,0.0007370477106014828,0.0006616653046970971,0.0009348887939661698,0.00011402934572823151,36,0.0007620216980846043,0.0007370477106014828,0.0006616653046970971,0.0009348887939661698,0.00011402934572823151,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,0.9999999999999998,1.0000000000000002,1.32697032177375e-16
0,Initialization (epoch 0),1,ConvWeight_1,1e-05,288,288,0.26755455657012106,0.262589956390957,0.2098454367466676,0.3274723002076146,0.048984277796032025,288,0.002830990210632408,0.0028215299982347936,0.0026540935916780973,0.003031440300760698,0.00014329525887584157,288,0.0007622751483832573,0.0007368585064259206,0.0006596067555257953,0.0009453977252482136,0.000113156650434892,288,3.6423548890005955,3.7135065327609844,2.8950683764131977,4.225423253890945,0.4987690059086664,288,3.77794128131508,3.841110635900506,3.064820287155506,4.352377665190805,0.4793785004075915,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.2675920723769309,0.2629742372902274,0.20992569028211053,0.32789248128897075,0.04895041752901445,288,0.002830990210632408,0.0028215299982347936,0.0026540935916780973,0.003031440300760698,0.00014329525887584157,288,0.0007620216980846044,0.0007370477106014828,0.0006584703687114771,0.0009503750534852765,0.00011263015966236271,288,3.64305379744258,3.7142558784129847,2.8814529885103353,4.224101167905374,0.49757366472228653,288,3.778722989479274,3.841613348857912,3.062684589845683,4.353521261951688,0.47827486379107453,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9940695725047816,0.9894455296984173,0.8491505299850882,1.1551363322243084,0.12156399689057605
0,Initialization (epoch 0),1,ConvWeight_1,3e-05,288,288,0.09136760222420236,0.09090181273535958,0.04808705047128366,0.1366373728479638,0.036438012821062765,288,0.008211277827703875,0.008172687992647119,0.007668431348213022,0.008773556981977973,0.0004282990979441088,288,0.0007622751483832573,0.0007368585064259206,0.0006596067555257953,0.0009453977252482136,0.000113156650434892,288,10.926955833281735,11.140970227902596,8.685276299923975,12.673963954013368,1.4962421378677075,288,10.971940175296863,11.212660566036199,8.788733822023772,12.72512127350531,1.4891490946850203,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.09134175297353045,0.09030348911395074,0.047978991722289546,0.13648620145651705,0.03640486774237008,288,0.008211277827703875,0.008172687992647119,0.007668431348213022,0.008773556981977973,0.0004282990979441088,288,0.0007620216980846044,0.0007370477106014828,0.0006584703687114771,0.0009503750534852765,0.00011263015966236271,288,10.929161425193147,11.142768044560796,8.644358093707096,12.672304375721353,1.4927209872963632,288,10.974135026443786,11.175897805764585,8.748521561814503,12.710376400663508,1.4857628634269757,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9822087108688342,0.968336499027088,0.5474513527929489,1.465409042919898,0.36469198643683115
0,Initialization (epoch 0),1,ConvWeight_1,0.0001,288,288,0.026442257528626712,0.026131978598361062,-0.014698516915118967,0.06859762972965898,0.03404509614971533,288,0.027263734845382748,0.027160047012817885,0.025449405457361934,0.029126877100300354,0.0014317868686543691,288,0.0007622751483832573,0.0007368585064259206,0.0006596067555257953,0.0009453977252482136,0.000113156650434892,288,36.42326958927933,37.13756992387292,28.95111771287142,42.244273007428696,4.987434834978603,288,36.435710720642035,37.159089232802,29.015791379737962,42.26057926863055,4.985061115770113,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.026393627601560492,0.026243671983351546,-0.01533583295636594,0.06883466629745776,0.03400947564720184,288,0.027263734845382748,0.027160047012817885,0.025449405457361934,0.029126877100300354,0.0014317868686543691,288,0.0007620216980846044,0.0007370477106014828,0.0006584703687114771,0.0009503750534852765,0.00011263015966236271,288,36.4305384707173,37.14256492962532,28.814516810858944,42.24102476011705,4.975736544496198,288,36.442935553488695,37.16552631740018,28.878788497863308,42.27422268089142,4.973514870924537,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9406956251756652,0.8944539467594412,-0.508498257440099,2.5513640165908273,1.2156399055556357
0,Initialization (epoch 0),1,ConvWeight_1,0.0003,288,288,0.007786254354241563,0.007075743369283141,-0.03403014083511935,0.05042425658966661,0.0338018283252377,288,0.08176453236529374,0.0814492338352177,0.0763311893767838,0.08736528799027676,0.004296941218461424,288,0.0007622751483832573,0.0007368585064259206,0.0006596067555257953,0.0009453977252482136,0.000113156650434892,288,109.26994340469929,111.41355624392295,86.85347812502728,126.73087673821291,14.962280897818802,288,109.27306024979082,111.41232960817987,86.90660026720651,126.7282142882866,14.96126962108832,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.007731124696897502,0.006769876255273345,-0.03429864129893672,0.05042208414006153,0.033765431535700344,288,0.08176453236529374,0.0814492338352177,0.0763311893767838,0.08736528799027676,0.004296941218461424,288,0.0007620216980846044,0.0007370477106014828,0.0006584703687114771,0.0009503750534852765,0.00011263015966236271,288,109.2916188102614,111.42773585506735,86.44346334617931,126.72316158474099,14.927208957261938,288,109.29468205895374,111.4462329997325,86.49623419942355,126.74848227060406,14.926354777017302,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.8220862093606905,0.6833528404866789,-3.525518486989603,5.65409668003567,3.646919294818742
0,Initialization (epoch 0),1,ConvWeight_1,0.0005,288,288,0.004053305896405405,0.0031361610045828633,-0.037355411660509465,0.04687548779554415,0.03377927662501416,288,0.13627114841830984,0.13575561306537842,0.12721922509924838,0.1456067939304505,0.007161884381614606,288,0.0007622751483832573,0.0007368585064259206,0.0006596067555257953,0.0009453977252482136,0.000113156650434892,288,182.1166272732074,185.68944667642958,144.75572518200113,211.21731899444256,24.93712683015482,288,182.11787883852833,185.6808434692878,144.80653278989269,211.19681454862638,24.936388289187597,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.003996877466208693,0.0030763284756956943,-0.03762481438253392,0.0470315789685564,0.03374272728599244,288,0.13627114841830984,0.13575561306537842,0.12721922509924838,0.1456067939304505,0.007161884381614606,288,0.0007620216980846044,0.0007370477106014828,0.0006584703687114771,0.0009503750534852765,0.00011263015966236271,288,182.15270388592523,185.71296174233777,144.0722939382298,211.20541505431802,24.87868048787127,288,182.15389994355556,185.72966623405023,144.12276040574926,211.22915934922938,24.8781000612306,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.703475905318541,0.47223973471694314,-6.542570336225385,8.756835516886948,6.078198121775473
0,Initialization (epoch 0),2,ConvWeight_2,0.0,36,36,0.9997791513760702,0.9997824641466169,0.999720009726735,0.9998463161726869,4.9818196546275637e-05,36,0.0014254597576180755,0.0014324457019879284,0.001274247555050358,0.0015436140548217257,0.00010006364730621244,36,0.0014260671431390469,0.0014339965922142315,0.0012750163907438914,0.0015446009999948022,0.00010006042166229244,36,0.020890944823522432,0.02085946929533853,0.017552193453587273,0.02366922137534503,0.002403929990012887,36,0.9995721635493128,0.9995542304114233,0.9987722965465975,1.0003189697050356,0.0006057427297222916,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,0.9999999999999999,1.0000000000000002,1.18687833744435e-16,36,0.0014254597576180755,0.0014324457019879284,0.001274247555050358,0.0015436140548217257,0.00010006364730621244,36,0.0014254597576180755,0.0014324457019879284,0.001274247555050358,0.0015436140548217257,0.00010006364730621244,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.0,1.0,0.9999999999999999,1.0000000000000002,1.18687833744435e-16
0,Initialization (epoch 0),2,ConvWeight_2,1e-05,288,288,0.9978274733139462,0.9978545331591212,0.9973845134246987,0.9982430454510336,0.000332758172642339,288,0.001428226278877921,0.0014353465610102635,0.0012695355815831016,0.0015462927791475185,9.863603418418606e-05,288,0.0014260671431390467,0.0014339965922142315,0.0012663769718131452,0.001545697537339948,9.883263992908397e-05,288,0.06580747156354055,0.06559064447564453,0.0593119196909605,0.07235276050930152,0.005035265128442608,288,1.0015324250403568,1.0015200546092244,0.9997875102757281,1.0031603625256325,0.0012710505627478916,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9980472313596521,0.9980523446669469,0.9976713499868742,0.9984273828188605,0.0002997191365556364,288,0.001428226278877921,0.0014353465610102635,0.0012695355815831016,0.0015462927791475185,9.863603418418606e-05,288,0.0014254597576180755,0.0014324457019879284,0.0012649500714790713,0.0015437637589034883,9.883582599305199e-05,288,0.06241576927634239,0.06249989282201186,0.05616122422825487,0.06838986299118013,0.004786127890616908,288,1.0019611354814795,1.0018589826312012,1.0005540435156468,1.00351677819913,0.0011522935082104388,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,1.000004442224519,0.9999679967454399,0.9986866755121541,1.001508055278522,0.001105452880485761
0,Initialization (epoch 0),2,ConvWeight_2,3e-05,288,288,0.9826202314462537,0.9826723275994563,0.9792539044709947,0.9858927072007638,0.002603674723317966,288,0.0014501779149365083,0.0014593107212948473,0.0012977693767682295,0.0015700884596585435,9.780153211450691e-05,288,0.0014260671431390467,0.0014339965922142315,0.0012663769718131452,0.001545697537339948,9.883263992908397e-05,288,0.1883272087739438,0.18845955736027303,0.16979880397441174,0.20691960283538804,0.014435570706751794,288,1.0170494657742764,1.0168960878489948,1.0114114037792021,1.0225079810376019,0.004288411707651646,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.9828352822318488,0.9828945678998052,0.9796221329721649,0.9861192707897152,0.0025716282565839536,288,0.0014501779149365083,0.0014593107212948473,0.0012977693767682295,0.0015700884596585435,9.780153211450691e-05,288,0.0014254597576180755,0.0014324457019879284,0.0012649500714790713,0.0015437637589034883,9.883582599305199e-05,288,0.1872473062987671,0.1874988558406121,0.16848341903486946,0.20516899296555413,0.014358380644819797,288,1.0174848845023827,1.0172075145093946,1.012241813622017,1.022752239944264,0.004271624858512836,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,1.0000133363230406,0.9999040741119297,0.9960600081744039,1.004524142253679,0.003316355404349684
0,Initialization (epoch 0),2,ConvWeight_2,0.0001,288,288,0.8480528854644225,0.8477188721139377,0.8248307440851641,0.8717791736475501,0.0183333520280339,288,0.0016795199191578282,0.0016864415254044796,0.001542079703788138,0.0018042480561035839,9.560744881615137e-05,288,0.0014260671431390467,0.0014339965922142315,0.0012663769718131452,0.001545697537339948,9.883263992908397e-05,288,0.6242316550474751,0.624829084112845,0.5614731663952609,0.6843270965420047,0.04787426882663689,288,1.1789856233416467,1.1780114304571225,1.1428665046999438,1.2143153817619166,0.027363694034691133,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.848233949724027,0.8478574360933413,0.825251103010857,0.8719498093327388,0.018304523885829805,288,0.0016795199191578282,0.0016864415254044796,0.001542079703788138,0.0018042480561035839,9.560744881615137e-05,288,0.0014254597576180755,0.0014324457019879284,0.0012649500714790713,0.0015437637589034883,9.883582599305199e-05,288,0.6241578665170958,0.6249867826578646,0.5616086355284129,0.6838898885269566,0.04786123960572456,288,1.179490493884312,1.1773965212724904,1.143936555192947,1.2148223041388484,0.027380626551366402,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,1.0000445669874516,0.9996812255885958,0.9868664796907431,1.0150801990568648,0.011054480303821449
0,Initialization (epoch 0),2,ConvWeight_2,0.0003,288,288,0.4723740193713526,0.4680630558721191,0.4372123544952955,0.5117371138126894,0.030245136873609926,288,0.0030187299236592064,0.003003623158369625,0.0028376514775362285,0.0032328948510903614,0.00015779684030672262,288,0.0014260671431390467,0.0014339965922142315,0.0012663769718131452,0.001545697537339948,9.883263992908397e-05,288,1.8717853950092396,1.8731501938502713,1.6831699937346727,2.0505227479353163,0.14353928054610013,288,2.122921228456354,2.1210633915322754,1.9562274779065194,2.284804639760723,0.12799821284082866,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,0.472467527445169,0.46820779449806726,0.43792921567999354,0.5119942623215245,0.030230203680188472,288,0.0030187299236592064,0.003003623158369625,0.0028376514775362285,0.0032328948510903614,0.00015779684030672262,288,0.0014254597576180755,0.0014324457019879284,0.0012649500714790713,0.0015437637589034883,9.883582599305199e-05,288,1.8724801907723883,1.874884730960965,1.6848073300883724,2.0516168787661444,0.14358362542462497,288,2.123829778730341,2.1215561418449456,1.9579972287482872,2.2843245455061494,0.1280628191134741,288,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,288,1.0001346659107873,0.9990520643271206,0.9605976028671169,1.0452382389814194,0.03316311910627375
