architecture,scheme,layer_index,state_layer,kind,element_count,sum_squared_delta,pooled_rms,signed_mean,mean_absolute_delta,batch_rms_n_defined,batch_rms_mean,batch_rms_median,batch_rms_p10,batch_rms_p90,batch_rms_std,rms_over_output_rms,epoch
conv3,baseline,3,Output,positive_minus_matched_zero,11520,0.03923117398225313,0.001845395310665479,-4.154843001242707e-06,0.001007757960455562,36,0.0017974364913089583,0.001727987205562208,0.0013507925843100938,0.0023861135547905143,0.00042390743073509056,1.0,30
conv3,baseline,3,Output,zero_nudge_drift,11520,3.819614994227821e-06,1.8208893474955475e-05,1.3511735882940374e-05,1.491040284730125e-05,36,1.8033284453950908e-05,1.8060618306935708e-05,1.5225052715524954e-05,2.1686927908750934e-05,2.5585728268820305e-06,1.0,30
conv3,legacy,0,H1,centered_halfspan,7225344,6.158263889936964e-13,2.9194422119339276e-10,-5.1349146854333755e-12,7.863858028948834e-11,36,2.674400507162869e-10,2.384222685873528e-10,1.59357294868671e-10,4.1031591173269033e-10,1.1873871822488654e-10,3.390453489539767e-08,23
conv3,legacy,0,H1,negative_minus_free,7225344,1.397534421699767e-12,4.3979672637344083e-10,7.755796762870335e-11,1.2914978280380907e-10,36,3.957484107097694e-10,3.475601811778876e-10,2.5048381218656133e-10,6.592004945717956e-10,1.9456595019842236e-10,5.1075178426676876e-08,23
conv3,legacy,0,H1,negative_minus_matched_zero,7225344,6.158250973090466e-13,2.919439150193853e-10,5.135252799546458e-12,7.863826003050991e-11,36,2.6743956272721077e-10,2.3842226932782354e-10,1.5935729132919738e-10,4.103159083196394e-10,1.187390744428997e-10,3.3904499339252214e-08,23
conv3,legacy,0,H1,positive_minus_free,7225344,1.1715539129715128e-12,4.0267241102109305e-10,6.72881382578366e-11,1.201765904075085e-10,36,3.655292191704825e-10,3.127315225857777e-10,2.2268846634767698e-10,5.947239970830045e-10,1.713146294383248e-10,4.676379960714849e-08,23
conv3,legacy,0,H1,positive_minus_matched_zero,7225344,6.158276988408892e-13,2.9194453167222424e-10,-5.134576571320293e-12,7.863890194219512e-11,36,2.674405457103312e-10,2.384222678645177e-10,1.5935729843422814e-10,4.103159151563462e-10,1.1873835666288468e-10,3.390457095147787e-08,23
conv3,legacy,0,H1,zero_nudge_drift,7225344,6.687176279960582e-13,3.04223053805629e-10,7.242271482915689e-11,7.984341248698148e-11,36,2.527717895893957e-10,2.0312799043429486e-10,1.528323330814776e-10,3.67196791782053e-10,1.7168835543885813e-10,0.03583590487835318,23
conv3,legacy,1,H2,centered_halfspan,3612672,2.036623001007756e-10,7.508290296035944e-09,-6.641459238025848e-11,1.7916046582432303e-09,36,7.008463208402505e-09,6.50864793529979e-09,4.417319945659828e-09,9.696647590994638e-09,2.7318816045072323e-09,8.719648202184988e-07,23
conv3,legacy,1,H2,negative_minus_free,3612672,2.0530753315607722e-10,7.538556182845586e-09,1.4016535091517656e-10,1.8041811414155025e-09,36,7.041411656910922e-09,6.533626347166728e-09,4.4433446525004e-09,9.710685688251649e-09,2.730466434220569e-09,8.754796910230445e-07,23
conv3,legacy,1,H2,negative_minus_matched_zero,3612672,2.0366205556548468e-10,7.508285788469983e-09,6.642104897434092e-11,1.7915999862490877e-09,36,7.0084568393302525e-09,6.508647961575241e-09,4.4173199328949325e-09,9.69664758860301e-09,2.7318856682470208e-09,8.719642967629383e-07,23
conv3,legacy,1,H2,positive_minus_free,3612672,2.0309346632370092e-10,7.497797545220935e-09,7.336166154659572e-12,1.7924270580642358e-09,36,6.99594287661165e-09,6.502694071786516e-09,4.402139856146724e-09,9.703632752349468e-09,2.735246380477744e-09,8.707462748951903e-07,23
conv3,legacy,1,H2,positive_minus_matched_zero,3612672,2.036625543300172e-10,7.50829498228949e-09,-6.640813578617605e-11,1.7916095355882068e-09,36,7.008469837879581e-09,6.508647909026279e-09,4.417319958427732e-09,9.696647593387608e-09,2.7318773587501277e-09,8.719653644256929e-07,23
conv3,legacy,1,H2,zero_nudge_drift,3612672,5.381936718517183e-13,3.859713126829491e-10,7.374430194083563e-11,8.103559432279947e-11,36,2.947757023590206e-10,2.1607669489270372e-10,1.6269514846081155e-10,4.3287932204369263e-10,2.5269524403156463e-10,0.04546542766583506,23
