case,architecture,scheme,beta,role,origin,epoch,train_accuracy,validation_accuracy,train_loss,validation_loss
conv2_ours_beta30_seed0,conv2,ours,30.0,candidate,new,2,0.9738363636363636,0.9702,0.06758179394504218,0.06653979970340805
conv2_ours_beta30_seed0,conv2,ours,30.0,candidate,new,3,0.9779272727272728,0.9732,0.060316896851498866,0.060409412723763364
conv2_ours_beta30_seed0,conv2,ours,30.0,candidate,new,4,0.9798727272727272,0.9734,0.056161064862637514,0.0593356760020991
conv2_ours_beta30_seed0,conv2,ours,30.0,candidate,new,5,0.9815818181818182,0.9754,0.0533157135963128,0.05656663569953789
conv2_ours_beta30_seed0,conv2,ours,30.0,candidate,new,6,0.9827454545454546,0.9748,0.0511220655653343,0.05418394315472837
conv2_ours_beta30_seed0,conv2,ours,30.0,candidate,new,7,0.9840363636363636,0.9786,0.049451633730351496,0.05323025379442064
conv2_ours_beta30_seed0,conv2,ours,30.0,candidate,new,8,0.9842727272727273,0.977,0.048239255769706266,0.052774024964772556
conv2_ours_beta30_seed0,conv2,ours,30.0,candidate,new,9,0.984909090909091,0.9782,0.047172599950426074,0.05105983304993243
conv2_ours_beta30_seed0,conv2,ours,30.0,candidate,new,10,0.9851818181818182,0.9784,0.046214851441910156,0.05070712014185939
conv2_legacy_beta30_seed0,conv2,legacy,30.0,candidate,reuse_pilot,1,0.9354,0.9646,0.11537046488694422,0.08351709194537323
conv2_legacy_beta30_seed0,conv2,legacy,30.0,candidate,reuse_pilot,2,0.9726,0.9698,0.07053168872332623,0.06783904023271996
conv2_legacy_beta30_seed0,conv2,legacy,30.0,candidate,reuse_pilot,3,0.9777454545454546,0.9718,0.061170601363829305,0.060562242114256766
conv2_legacy_beta30_seed0,conv2,legacy,30.0,candidate,reuse_pilot,4,0.9799454545454546,0.9708,0.05720399069818525,0.06450621113416925
paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0,conv2,legacy,0.03,control,historical_first10,1,0.9353818181818182,0.9642,0.11560822282780672,0.0839659770273719
paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0,conv2,legacy,0.03,control,historical_first10,2,0.9723636363636363,0.9704,0.07070576080781456,0.06816589574788666
paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0,conv2,legacy,0.03,control,historical_first10,3,0.978,0.972,0.06124485575094064,0.060680084283776935
paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0,conv2,legacy,0.03,control,historical_first10,4,0.9805272727272727,0.9744,0.055876878073355236,0.05834226421785302
paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0,conv2,legacy,0.03,control,historical_first10,5,0.9822727272727273,0.9764,0.0524314083803523,0.05521777889722059
paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0,conv2,legacy,0.03,control,historical_first10,6,0.9841818181818182,0.977,0.04992228909440725,0.053076352787556014
paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0,conv2,legacy,0.03,control,historical_first10,7,0.9854,0.9782,0.04794939312156953,0.0524735212360699
paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0,conv2,legacy,0.03,control,historical_first10,8,0.9860545454545454,0.9772,0.046480124423080804,0.05237043999298512
paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0,conv2,legacy,0.03,control,historical_first10,9,0.9859818181818182,0.9788,0.04537470634158989,0.049647286692143654
paper_ready_results/bundles/table2_wide_ep/conv2/legacy/seed0,conv2,legacy,0.03,control,historical_first10,10,0.9866363636363636,0.98,0.04423932072893561,0.049016944333333576
conv3_baseline_beta300_seed0,conv3,baseline,300.0,candidate,new,1,0.8934909090909091,0.9374,0.14347317444552263,0.10241991296434158
conv3_baseline_beta300_seed0,conv3,baseline,300.0,candidate,new,2,0.9547636363636364,0.955,0.08520641213386683,0.07945658248513338
conv3_baseline_beta300_seed0,conv3,baseline,300.0,candidate,new,3,0.9636363636363636,0.9616,0.07126584117744292,0.07026982404614829
conv3_baseline_beta300_seed0,conv3,baseline,300.0,candidate,new,4,0.9681090909090909,0.9636,0.06413651381733232,0.06548439154516449
conv3_baseline_beta300_seed0,conv3,baseline,300.0,candidate,new,5,0.9714181818181818,0.9668,0.05984124197628668,0.06233667557589845
conv3_baseline_beta300_seed0,conv3,baseline,300.0,candidate,new,6,0.9733272727272727,0.9672,0.05663397469034065,0.05935750094091242
conv3_baseline_beta300_seed0,conv3,baseline,300.0,candidate,new,7,0.9748727272727272,0.97,0.05423525271329127,0.05906630291542309
conv3_baseline_beta300_seed0,conv3,baseline,300.0,candidate,new,8,0.9758181818181818,0.9696,0.05231667694777349,0.05654124778869438
conv3_baseline_beta300_seed0,conv3,baseline,300.0,candidate,new,9,0.9765454545454545,0.9694,0.050857330789950445,0.05477601769019036
conv3_baseline_beta300_seed0,conv3,baseline,300.0,candidate,new,10,0.9776,0.9702,0.04937544549552594,0.052326706986046315
paper_ready_results/bundles/table2_wide_ep/conv3/baseline/seed0,conv3,baseline,100.0,control,historical_first10,1,0.8935272727272727,0.9374,0.1435314840192087,0.10257097177837504
paper_ready_results/bundles/table2_wide_ep/conv3/baseline/seed0,conv3,baseline,100.0,control,historical_first10,2,0.9546727272727272,0.9546,0.0850188693995919,0.07940468039502627
paper_ready_results/bundles/table2_wide_ep/conv3/baseline/seed0,conv3,baseline,100.0,control,historical_first10,3,0.9641818181818181,0.9618,0.07106088149030919,0.06976578652172179
paper_ready_results/bundles/table2_wide_ep/conv3/baseline/seed0,conv3,baseline,100.0,control,historical_first10,4,0.9682545454545455,0.9642,0.06400192832696965,0.06509172616355524
paper_ready_results/bundles/table2_wide_ep/conv3/baseline/seed0,conv3,baseline,100.0,control,historical_first10,5,0.9713454545454545,0.9676,0.05973611514841322,0.06216204154971882
paper_ready_results/bundles/table2_wide_ep/conv3/baseline/seed0,conv3,baseline,100.0,control,historical_first10,6,0.9731636363636363,0.968,0.056545791855607784,0.059281052401149864
paper_ready_results/bundles/table2_wide_ep/conv3/baseline/seed0,conv3,baseline,100.0,control,historical_first10,7,0.9745272727272727,0.9684,0.05416162500059945,0.05901133887876424
paper_ready_results/bundles/table2_wide_ep/conv3/baseline/seed0,conv3,baseline,100.0,control,historical_first10,8,0.9760363636363636,0.9702,0.052230154430186276,0.056172510697344934
paper_ready_results/bundles/table2_wide_ep/conv3/baseline/seed0,conv3,baseline,100.0,control,historical_first10,9,0.9767454545454546,0.9698,0.05073529374187972,0.05464944706328469
paper_ready_results/bundles/table2_wide_ep/conv3/baseline/seed0,conv3,baseline,100.0,control,historical_first10,10,0.9774909090909091,0.9702,0.049239664967963837,0.051983813157219345
conv3_baseline_beta100_seed0,conv3,baseline,100.0,candidate,reuse_control_prefix,1,0.8935272727272727,0.9374,0.1435314840192087,0.10257097177837504
conv3_baseline_beta100_seed0,conv3,baseline,100.0,candidate,reuse_control_prefix,2,0.9546727272727272,0.9546,0.0850188693995919,0.07940468039502627
conv3_baseline_beta100_seed0,conv3,baseline,100.0,candidate,reuse_control_prefix,3,0.9641818181818181,0.9618,0.07106088149030919,0.06976578652172179
conv3_baseline_beta100_seed0,conv3,baseline,100.0,candidate,reuse_control_prefix,4,0.9682545454545455,0.9642,0.06400192832696965,0.06509172616355524
conv3_baseline_beta100_seed0,conv3,baseline,100.0,candidate,reuse_control_prefix,5,0.9713454545454545,0.9676,0.05973611514841322,0.06216204154971882
conv3_baseline_beta100_seed0,conv3,baseline,100.0,candidate,reuse_control_prefix,6,0.9731636363636363,0.968,0.056545791855607784,0.059281052401149864
conv3_baseline_beta100_seed0,conv3,baseline,100.0,candidate,reuse_control_prefix,7,0.9745272727272727,0.9684,0.05416162500059945,0.05901133887876424
conv3_baseline_beta100_seed0,conv3,baseline,100.0,candidate,reuse_control_prefix,8,0.9760363636363636,0.9702,0.052230154430186276,0.056172510697344934
conv3_baseline_beta100_seed0,conv3,baseline,100.0,candidate,reuse_control_prefix,9,0.9767454545454546,0.9698,0.05073529374187972,0.05464944706328469
conv3_baseline_beta100_seed0,conv3,baseline,100.0,candidate,reuse_control_prefix,10,0.9774909090909091,0.9702,0.049239664967963837,0.051983813157219345
conv3_ours_beta3_seed0,conv3,ours,3.0,candidate,reuse_control_prefix,1,0.9404,0.9696,0.09307589135246282,0.06083563210844178
conv3_ours_beta3_seed0,conv3,ours,3.0,candidate,reuse_control_prefix,2,0.9770181818181818,0.9752,0.05238920036575209,0.04990698014336247
conv3_ours_beta3_seed0,conv3,ours,3.0,candidate,reuse_control_prefix,3,0.9815272727272727,0.9772,0.04474361968509656,0.04362756489363712
conv3_ours_beta3_seed0,conv3,ours,3.0,candidate,reuse_control_prefix,4,0.9837818181818182,0.9776,0.040212882752592306,0.04255443880730948
conv3_ours_beta3_seed0,conv3,ours,3.0,candidate,reuse_control_prefix,5,0.9856545454545454,0.9796,0.0371314730621607,0.039264557714126166
conv3_ours_beta3_seed0,conv3,ours,3.0,candidate,reuse_control_prefix,6,0.9867272727272727,0.981,0.03468696962176085,0.037529157227518706
conv3_ours_beta3_seed0,conv3,ours,3.0,candidate,reuse_control_prefix,7,0.9875090909090909,0.9798,0.03284290965203194,0.03716569550813746
conv3_ours_beta3_seed0,conv3,ours,3.0,candidate,reuse_control_prefix,8,0.9884363636363637,0.9806,0.03134092935940948,0.0366320378581302
conv3_ours_beta3_seed0,conv3,ours,3.0,candidate,reuse_control_prefix,9,0.9890909090909091,0.9832,0.030233667176520474,0.033462254435010226
conv3_ours_beta3_seed0,conv3,ours,3.0,candidate,reuse_control_prefix,10,0.9895818181818182,0.9842,0.02898523571047346,0.03250609827911116
paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0,conv3,ours,3.0,control,historical_first10,1,0.9404,0.9696,0.09307589135246282,0.06083563210844178
paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0,conv3,ours,3.0,control,historical_first10,2,0.9770181818181818,0.9752,0.05238920036575209,0.04990698014336247
paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0,conv3,ours,3.0,control,historical_first10,3,0.9815272727272727,0.9772,0.04474361968509656,0.04362756489363712
paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0,conv3,ours,3.0,control,historical_first10,4,0.9837818181818182,0.9776,0.040212882752592306,0.04255443880730948
paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0,conv3,ours,3.0,control,historical_first10,5,0.9856545454545454,0.9796,0.0371314730621607,0.039264557714126166
paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0,conv3,ours,3.0,control,historical_first10,6,0.9867272727272727,0.981,0.03468696962176085,0.037529157227518706
paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0,conv3,ours,3.0,control,historical_first10,7,0.9875090909090909,0.9798,0.03284290965203194,0.03716569550813746
paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0,conv3,ours,3.0,control,historical_first10,8,0.9884363636363637,0.9806,0.03134092935940948,0.0366320378581302
paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0,conv3,ours,3.0,control,historical_first10,9,0.9890909090909091,0.9832,0.030233667176520474,0.033462254435010226
paper_ready_results/bundles/table2_wide_ep/conv3/ours/seed0,conv3,ours,3.0,control,historical_first10,10,0.9895818181818182,0.9842,0.02898523571047346,0.03250609827911116
conv3_ours_beta0.9_seed0,conv3,ours,0.9,candidate,new,1,0.9405636363636364,0.9688,0.09307855113428148,0.06064261655317607
conv3_ours_beta0.9_seed0,conv3,ours,0.9,candidate,new,2,0.9770545454545455,0.9748,0.0525914812502968,0.050076991283350546
conv3_ours_beta0.9_seed0,conv3,ours,0.9,candidate,new,3,0.9814545454545455,0.9774,0.04512447762192258,0.043921499845177854
conv3_ours_beta0.9_seed0,conv3,ours,0.9,candidate,new,4,0.9835636363636364,0.9788,0.04058691150709116,0.043358251825266404
conv3_ours_beta0.9_seed0,conv3,ours,0.9,candidate,new,5,0.9856,0.9808,0.03747182866509678,0.03928174096355154
conv3_ours_beta0.9_seed0,conv3,ours,0.9,candidate,new,6,0.9863454545454545,0.9804,0.03503796767687296,0.03810260544302015
conv3_ours_beta0.9_seed0,conv3,ours,0.9,candidate,new,7,0.9876363636363636,0.9804,0.033123211650435566,0.0376739044670644
conv3_ours_beta0.9_seed0,conv3,ours,0.9,candidate,new,8,0.9879818181818182,0.9812,0.031648317798239525,0.03653359531709952
conv3_ours_beta0.9_seed0,conv3,ours,0.9,candidate,new,9,0.9890545454545454,0.9838,0.030573686819668783,0.033706576823817544
conv3_ours_beta0.9_seed0,conv3,ours,0.9,candidate,new,10,0.9893454545454545,0.9846,0.02932795670997512,0.03313078749708546
conv3_legacy_beta1_seed0,conv3,legacy,1.0,candidate,reuse_pilot,1,0.9430727272727273,0.9718,0.09132809892446712,0.0560585678484537
conv3_legacy_beta1_seed0,conv3,legacy,1.0,candidate,reuse_pilot,2,0.9811272727272727,0.98,0.04665696977124467,0.04377894517731941
conv3_legacy_beta1_seed0,conv3,legacy,1.0,candidate,reuse_pilot,3,0.9852909090909091,0.9814,0.03854412545902871,0.03785780248881673
conv3_legacy_beta1_seed0,conv3,legacy,1.0,candidate,reuse_pilot,4,0.9875454545454545,0.9824,0.03379447286681589,0.035917021417899465
conv3_legacy_beta1_seed0,conv3,legacy,1.0,candidate,reuse_pilot,5,0.989,0.984,0.030696417582354096,0.03341719615552751
conv3_legacy_beta1_seed0,conv3,legacy,1.0,candidate,reuse_pilot,6,0.9903454545454545,0.984,0.0283293394409181,0.031893171164878976
conv3_legacy_beta1_seed0,conv3,legacy,1.0,candidate,reuse_pilot,7,0.9907090909090909,0.9828,0.0264285714901521,0.032359244594875256
conv3_legacy_beta1_seed0,conv3,legacy,1.0,candidate,reuse_pilot,8,0.9917272727272727,0.9854,0.025086076086677348,0.02993254570787109
conv3_legacy_beta1_seed0,conv3,legacy,1.0,candidate,reuse_pilot,9,0.9922363636363636,0.9852,0.02398177301249582,0.028735182825193675
conv3_legacy_beta1_seed0,conv3,legacy,1.0,candidate,reuse_pilot,10,0.9927818181818182,0.9864,0.022860484387809115,0.02777343248844387
paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0,conv3,legacy,0.001,control,historical_first10,1,0.9435272727272728,0.972,0.09136980376687728,0.055755228353997766
paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0,conv3,legacy,0.001,control,historical_first10,2,0.9809454545454546,0.9792,0.046732591737350254,0.04424343799241869
paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0,conv3,legacy,0.001,control,historical_first10,3,0.9854363636363637,0.9804,0.03863673239460566,0.03798063191749942
paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0,conv3,legacy,0.001,control,historical_first10,4,0.9873636363636363,0.9818,0.033919143342837646,0.03540481764950683
paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0,conv3,legacy,0.001,control,historical_first10,5,0.9891454545454545,0.9842,0.03074839237901842,0.03325850791030089
paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0,conv3,legacy,0.001,control,historical_first10,6,0.9903818181818181,0.9838,0.028359742053050998,0.03156579581712159
paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0,conv3,legacy,0.001,control,historical_first10,7,0.9910363636363636,0.9836,0.026474585888785755,0.03247504730671146
paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0,conv3,legacy,0.001,control,historical_first10,8,0.9918727272727272,0.9856,0.025056547992355332,0.02986036784116353
paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0,conv3,legacy,0.001,control,historical_first10,9,0.9921272727272727,0.9854,0.023937777851873534,0.028157308537930463
paper_ready_results/bundles/table2_wide_ep/conv3/legacy/seed0,conv3,legacy,0.001,control,historical_first10,10,0.9926727272727273,0.9864,0.02280755477118866,0.02782143205066854
