scheme,checkpoint_role,epoch,parameter,layer_index,estimator,element_count,n_batches,gradient_l2_n_defined,gradient_l2_mean,gradient_l2_median,gradient_l2_p10,gradient_l2_p90,gradient_l2_std,gradient_rms_n_defined,gradient_rms_mean,gradient_rms_median,gradient_rms_p10,gradient_rms_p90,gradient_rms_std,norm_relative_to_initial_n_defined,norm_relative_to_initial_mean,norm_relative_to_initial_median,norm_relative_to_initial_p10,norm_relative_to_initial_p90,norm_relative_to_initial_std,exact_zero_fraction_n_defined,exact_zero_fraction_mean,exact_zero_fraction_median,exact_zero_fraction_p10,exact_zero_fraction_p90,exact_zero_fraction_std,abs_le_1e_minus12_fraction_n_defined,abs_le_1e_minus12_fraction_mean,abs_le_1e_minus12_fraction_median,abs_le_1e_minus12_fraction_p10,abs_le_1e_minus12_fraction_p90,abs_le_1e_minus12_fraction_std
ours,initialization,0,ConvWeight_2,2,eqprop,294912,36,36,0.009483159174371598,0.009556675382726922,0.008462247807266421,0.010308109823439316,0.0006701879437183022,36,1.7462516039764526e-05,1.759789054355404e-05,1.5582585439060102e-05,1.898159988898335e-05,1.2341001033142704e-06,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,1.8838011188271604e-07,0.0,0.0,0.0,7.877288280765896e-07
ours,initialization,0,ConvWeight_2,2,bptt,294912,36,36,0.009531207175194683,0.00961549165033534,0.008495009873186507,0.010349102111000466,0.0006678666897416915,36,1.755099277727614e-05,1.770619622498632e-05,1.5642914290564723e-05,1.9057084067396992e-05,1.229825690742089e-06,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,9.419005594135802e-08,0.0,0.0,0.0,5.65140335648148e-07
ours,initialization,0,DenseWeight_0,3,eqprop,250880,36,36,0.3169741028234887,0.31658105328314917,0.2848366336762981,0.3557396826900945,0.028034100910569366,36,0.0006328353937681506,0.0006320506745800039,0.0005686732815914359,0.0007102304578475503,5.596978153939451e-05,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
ours,initialization,0,DenseWeight_0,3,bptt,250880,36,36,0.3169087705130374,0.31650670210971427,0.2847932544251749,0.3556732526411045,0.028036384359526823,36,0.0006327049585116362,0.0006319022332603545,0.0005685866753822178,0.0007100978309678269,5.597434042072667e-05,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
legacy,initialization,0,ConvWeight_0,0,eqprop,1152,36,36,0.08245934243782034,0.06824877574125113,0.041072504655501996,0.1342619604735822,0.04031750276210718,36,0.002429481675415268,0.0020107988389299423,0.0012101102734258962,0.003955730946094591,0.0011878658168163895,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
legacy,initialization,0,ConvWeight_0,0,bptt,1152,36,36,0.08247242289825435,0.06829439676572335,0.04112089422209267,0.1343296849644764,0.040326003227780766,36,0.0024298670621766814,0.0020121429612536506,0.0012115359647040188,0.003957726298043078,0.0011881162641880995,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
legacy,initialization,0,ConvWeight_1,1,eqprop,73728,36,36,0.04624826438558069,0.04574383727640427,0.04008916969115771,0.05354645458488208,0.005830984763432432,36,0.0001703253196101688,0.00016846759133145537,0.00014764231114976992,0.0001972034434659772,2.1474629516763067e-05,36,1.0,1.0,1.0,1.0,0.0,36,3.767602237654321e-07,0.0,0.0,0.0,2.260561342592592e-06,36,3.767602237654321e-07,0.0,0.0,0.0,2.260561342592592e-06
legacy,initialization,0,ConvWeight_1,1,bptt,73728,36,36,0.04624904136963554,0.04574562705892965,0.04008211254038583,0.053551132834178,0.005831624843534476,36,0.00017032818112420035,0.00016847418282812487,0.00014761632073744365,0.0001972206727461919,2.1476986834370668e-05,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,3.767602237654321e-07,0.0,0.0,0.0,2.260561342592592e-06
legacy,initialization,0,ConvWeight_2,2,eqprop,294912,36,36,0.08963149078473391,0.09097181182429331,0.08043864439453977,0.09785341290173513,0.006743169041775424,36,0.000165049570160794,0.00016751766936923008,0.00014812164302300087,0.00018018961412777113,1.2417032698246346e-05,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
legacy,initialization,0,ConvWeight_2,2,bptt,294912,36,36,0.08963264347947907,0.09097552281270962,0.0804403237875268,0.09785495212910891,0.006744155050387834,36,0.00016505169276045793,0.00016752450287202717,0.00014812473549740042,0.00018019244849785913,1.2418848358080051e-05,36,1.0,1.0,1.0,1.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0
