phase,seed,T,K,beta,gradient_pass,equilibrium_pass,combined_pass,failed_layer_batches,init_min_cosine,init_max_norm_delta,init_failed_layer_batches,init_max_free_residual_p90,init_max_endpoint_residual_p90,init_failed_residual_checks,trained_min_cosine,trained_max_norm_delta,trained_failed_layer_batches,trained_max_free_residual_p90,trained_max_endpoint_residual_p90,trained_failed_residual_checks,result,result_sha256
reference,0,8,8,100,False,False,False,7,0.9673926637228818,0.1842596479603944,7,6.971410375588693e-06,6.971410375588693e-06,0,0.9994211245704718,0.01602008191749466,0,0.18805410572758774,0.18805410572758774,72,results/eqprop-beta-selection-audit-20260914-v1/selection/selection_conv3_baseline_seed0_beta100/result.json,b2f4841e741df20769e66eaf69390faa8723f23d8b8a7a6bdb0e69df3cf47f09
selection,0,8,8,10,True,False,False,0,0.9948864048327192,0.0570058539965755,0,6.971410375588693e-06,6.971410375588693e-06,0,0.9999435246106911,0.0013782719964145031,0,0.18805410572758774,0.18805410572758774,72,results/eqprop-conv3-baseline-beta-tk8-20260916-v1/selection/selection_conv3_baseline_seed0_T8_K8_beta10/result.json,52a701010d20af06178025c141986be6a24cb71daa300be1b6eb94d946ad2ec1
selection,0,8,8,30,False,False,False,1,0.9802064250126024,0.08623480335979314,1,6.971410375588693e-06,6.971410375588693e-06,0,0.999908175386079,0.0032851983866977064,0,0.18805410572758774,0.18805410572758774,72,results/eqprop-conv3-baseline-beta-tk8-20260916-v1/selection/selection_conv3_baseline_seed0_T8_K8_beta30/result.json,42040a5a697ede88b12fc408b012bf3e3dbb9b0a6b55a962a06c02ef8d7925d9
selection,0,8,8,50,False,False,False,2,0.9782347533759459,0.0976927523512125,2,6.971410375588693e-06,6.971410375588693e-06,0,0.9997872961499963,0.00502815350903284,0,0.18805410572758774,0.18805410572758774,72,results/eqprop-conv3-baseline-beta-tk8-20260916-v1/selection/selection_conv3_baseline_seed0_T8_K8_beta50/result.json,78b70f72f7141d4d1c6f5252754e653f9349bfb0e0393c5d953c70a6f39e6062
selection,0,8,8,75,False,False,False,5,0.977007883625424,0.16080027979995834,5,6.971410375588693e-06,6.971410375588693e-06,0,0.999645326900283,0.011392181059098514,0,0.18805410572758774,0.18805410572758774,72,results/eqprop-conv3-baseline-beta-tk8-20260916-v1/selection/selection_conv3_baseline_seed0_T8_K8_beta75/result.json,46e68aefd65855bafa56ed2c880f76036d5f913d057f675295ec7577c2436762
confirmation,0,8,8,10,True,False,False,0,0.991247378122254,0.08092024618582504,0,6.848136844738936e-06,6.848136844738936e-06,0,0.9998865780697,0.0016422356606708634,0,0.19528646645972003,0.19528646645972003,72,results/eqprop-conv3-baseline-beta-tk8-20260916-v1/confirmation/confirmation_conv3_baseline_seed0_T8_K8_beta10/result.json,7bc3392d118432fc3fa26733b95c1d98ceeec9b07255dc0dc76d41be4b757c71
confirmation,1,8,8,10,False,False,False,2,0.9687726241114932,0.10120775854552053,2,6.558769306720528e-06,6.558769306720528e-06,0,0.9981263619858503,0.01608565950921262,0,0.25977426348174504,0.25977426348174504,72,results/eqprop-conv3-baseline-beta-tk8-20260916-v1/confirmation/confirmation_conv3_baseline_seed1_T8_K8_beta10/result.json,bc077e324d649a9a5bc1071096497681ae082fdf43bcdd33fa40fde8791d4477
confirmation,2,8,8,10,True,False,False,0,0.9926552019011903,0.072714430620934,0,7.838040036688566e-06,7.838040036688566e-06,0,0.9997109835824491,0.011605205654358255,0,1.8582771556573334,1.8582771556573334,72,results/eqprop-conv3-baseline-beta-tk8-20260916-v1/confirmation/confirmation_conv3_baseline_seed2_T8_K8_beta10/result.json,8ec3c378f4ade51a713b3e7ac6a172ff480093d4914b8e37491499df4a5c75cc
