architecture,scheme,group_status,selected_injected_beta,tested_injected_beta,G_max,gradient_fidelity_passed,equilibrium_residual_passed,combined_gate_passed,minimum_cosine,maximum_symmetric_norm_difference,layer_comparisons,local_evidence,result_sha256
conv2,ours,qualified,0.001,10.0,0.001,False,True,False,0.23633273540335803,1.8821244302474873,24,provenance/bounded_beta_checks/conv2_ours_gmax_1em3_decade0/result.json,22fc12d7365198c196cb3ab36f7c7095183b84645a699de60f04dc3c8512b4e8
conv2,ours,qualified,0.001,1.0,0.0001,False,True,False,0.5949155604877946,1.086587455201678,24,provenance/bounded_beta_checks/conv2_ours_gmax_1em4_decade1/result.json,fc653c001112e0214eca68695636a53bb8b8d089047bc3667cc0a4e83b34fa7b
conv2,ours,qualified,0.001,1.0,0.0005,False,True,False,0.5949155604877946,1.086587455201678,24,provenance/bounded_beta_checks/conv2_ours_gmax_5em4_decade1/result.json,6207f42d7e4ed5df0e756257801a9b944abeb22334e479aae65a54975c02bc7f
conv2,ours,qualified,0.001,1.0,0.001,False,True,False,0.5949155604877946,1.086587455201678,24,provenance/bounded_beta_checks/conv2_ours_gmax_1em3_decade1/result.json,5b28ab61c91057e2cc21d5b10088a8c90a3c686984a5edd63745ed775a2cd5c3
conv2,ours,qualified,0.001,0.1,0.0001,False,True,False,0.960259989606118,0.1599924670837208,24,provenance/bounded_beta_checks/conv2_ours_gmax_1em4_decade2/result.json,3484be295fed0a8cbe16655f2e882776831304c62998177e5171baee88ac6980
conv2,ours,qualified,0.001,0.1,0.0005,False,True,False,0.960259989606118,0.1599924670837208,24,provenance/bounded_beta_checks/conv2_ours_gmax_5em4_decade2/result.json,b987a24a455bd6d09ce04156a3c2696aab01557bda4f8b933cd15fe999dbdd78
conv2,ours,qualified,0.001,0.1,0.001,False,True,False,0.960259989606118,0.1599924670837208,24,provenance/bounded_beta_checks/conv2_ours_gmax_1em3_decade2/result.json,13ab96c11c9b0550c3f2ff6660fbac5d776a89f3b6c3d2d04365080213491268
conv2,ours,qualified,0.001,0.01,0.0001,False,True,False,0.9875555620695047,0.041612867706364416,24,provenance/bounded_beta_checks/conv2_ours_gmax_1em4_decade3/result.json,5961fc39d5a0ae8eba30ed4bd5376a7af6e3df8fb2a51038f127e75a222b4980
conv2,ours,qualified,0.001,0.01,0.0005,False,True,False,0.9875555620695047,0.041612867706364416,24,provenance/bounded_beta_checks/conv2_ours_gmax_5em4_decade3/result.json,339c2af931b06d44449f4113a39276b80203b54d275ba17e9c93316ef433db0f
conv2,ours,qualified,0.001,0.01,0.001,False,True,False,0.9875555620695047,0.041612867706364416,24,provenance/bounded_beta_checks/conv2_ours_gmax_1em3_decade3/result.json,97e0d1e1f3a700f6b522f4c4f4559dc49156ddf27f314c9899e6c8e4b8560d90
conv2,ours,qualified,0.001,0.001,0.0001,True,True,True,0.9951979982979611,0.037730082670861566,24,provenance/bounded_beta_checks/conv2_ours_gmax_1em4_decade4/result.json,33a777c09845f164e05b630e5eec6a062b892bd42604b43885e9d5ce9d51363b
conv2,ours,qualified,0.001,0.001,0.0005,True,True,True,0.999759033850523,0.014130791107104924,24,provenance/bounded_beta_checks/conv2_ours_gmax_5em4_decade4/result.json,f87c2c4a08bf601d86b93991c2ac202db499c46875f90a42ad30c65f65badb12
conv2,ours,qualified,0.001,0.001,0.001,True,True,True,0.999759033850523,0.014130791107104924,24,provenance/bounded_beta_checks/conv2_ours_gmax_1em3_decade4/result.json,0c25488f55a4a1a221293b916e60b533d2e16404466ad5998f92e700e27c1490
conv2,legacy,qualified,0.003,0.03,0.0001,False,True,False,0.9841046295799251,0.06061204270563724,24,provenance/bounded_beta_checks/conv2_legacy_gmax_1em4_decade0/result.json,7c8a6b8a6dc2395c104bc48c90e3db2f367b4b1cbe6cc6070146b067f0ad2485
conv2,legacy,qualified,0.003,0.03,0.0005,False,True,False,0.9841046295799251,0.06061204270563724,24,provenance/bounded_beta_checks/conv2_legacy_gmax_5em4_decade0/result.json,470731b8e34e19774e6be1a39536cfda7ef30da322c56271fa19df5cbd145bf7
conv2,legacy,qualified,0.003,0.03,0.001,False,True,False,0.9841046295799251,0.06061204270563724,24,provenance/bounded_beta_checks/conv2_legacy_gmax_1em3_decade0/result.json,914670f6ac94516d0af2a8df2b7cac383e07e9760d3303aaaf4115626c7a3c3c
conv2,legacy,qualified,0.003,0.003,0.0001,True,True,True,0.9979282917728606,0.02833841952633215,24,provenance/bounded_beta_checks/conv2_legacy_gmax_1em4_decade1/result.json,026ca9c9bb6e6f99d9f2aa3314ff136324cb64a92c6b8d9a6f6fcc98c371a320
conv2,legacy,qualified,0.003,0.003,0.0005,True,True,True,0.9979282917728606,0.02833841952633215,24,provenance/bounded_beta_checks/conv2_legacy_gmax_5em4_decade1/result.json,ac66f3f55dc9c22c8bfa64cd5714872537fafce6a43f7998f4cd2047a51b7b13
conv2,legacy,qualified,0.003,0.003,0.001,True,True,True,0.9979282917728606,0.02833841952633215,24,provenance/bounded_beta_checks/conv2_legacy_gmax_1em3_decade1/result.json,066286d189cf2ac7f3208b55821ae888f82a0eb1b16297f7217971b7479999f9
conv3,baseline,held_numerical_or_equilibrium_gate,,100.0,0.0001,False,True,False,-0.5175122570928163,1.8528290028856318,32,provenance/bounded_beta_checks/conv3_baseline_gmax_1em4_decade0/result.json,61d3b488de403a19e81139e2f534510482a0442990b55fb2551bbf9d3fc49e61
conv3,baseline,held_numerical_or_equilibrium_gate,,100.0,0.0005,False,True,False,-0.5175122570928163,1.8528290028856318,32,provenance/bounded_beta_checks/conv3_baseline_gmax_5em4_decade0/result.json,d7b9e8fbc0ef809ba860cd9d78c98450ee3a7a2e56843538fc502f3774930af1
conv3,baseline,held_numerical_or_equilibrium_gate,,100.0,0.001,False,False,False,-0.5175122570928163,1.8528290028856318,32,provenance/bounded_beta_checks/conv3_baseline_gmax_1em3_decade0/result.json,ae445d652c706ef4f57dd9a6fb56fc6a11f9069ed2ec033bfea39c0c16eb4d9f
conv3,baseline,held_numerical_or_equilibrium_gate,,10.0,0.0001,False,True,False,0.5631396944644858,0.9275764447499149,32,provenance/bounded_beta_checks/conv3_baseline_gmax_1em4_decade1/result.json,4f980565e96200dd7984ca0a14233bfd5a83331c77b1a5cbe8c2eddda6b50940
conv3,baseline,held_numerical_or_equilibrium_gate,,10.0,0.0005,False,True,False,0.5631396944644858,0.9275764447499149,32,provenance/bounded_beta_checks/conv3_baseline_gmax_5em4_decade1/result.json,48488014374666a9bdb2aad34f16698175519b064e9e6f6a4367ed7da81db52f
conv3,baseline,held_numerical_or_equilibrium_gate,,10.0,0.001,False,False,False,0.11618807654187048,0.9275764447499149,32,provenance/bounded_beta_checks/conv3_baseline_gmax_1em3_decade1/result.json,3ba3e8ec1c3239b3fe03498e780b1d0e6f1e02ba4e9d5f7a8a87b174cb2ba144
conv3,baseline,held_numerical_or_equilibrium_gate,,1.0,0.0001,False,True,False,0.9730175392368438,0.1544079777242356,32,provenance/bounded_beta_checks/conv3_baseline_gmax_1em4_decade2/result.json,52da4e359d8db08e50f354d0f15a9ee66cc3112520795e0b9258076a0a05d091
conv3,baseline,held_numerical_or_equilibrium_gate,,1.0,0.0005,False,True,False,0.7328280024366547,0.43907864711986827,32,provenance/bounded_beta_checks/conv3_baseline_gmax_5em4_decade2/result.json,2d099e6d750f3696f65cb946a2a6c62794328a20eb19ea2b408ef1a6eab06ccb
conv3,baseline,held_numerical_or_equilibrium_gate,,1.0,0.001,False,False,False,0.1398823364070552,0.8489992366249652,32,provenance/bounded_beta_checks/conv3_baseline_gmax_1em3_decade2/result.json,f8f51af26cbea2434905a69bdf256f517b1e6979bdafb4362dfa6284c91c7f22
conv3,baseline,held_numerical_or_equilibrium_gate,,0.1,0.0001,True,True,True,0.997095767417187,0.04732923002510097,32,provenance/bounded_beta_checks/conv3_baseline_gmax_1em4_decade3/result.json,89e17c2dba903a9600938bd32ed039da1952eca88c9278e30dbfdd534c6dc55b
conv3,baseline,held_numerical_or_equilibrium_gate,,0.1,0.0005,False,True,False,0.7330133548946091,0.43876872115296134,32,provenance/bounded_beta_checks/conv3_baseline_gmax_5em4_decade3/result.json,1b26f377282b6c9fa63b5e6a75aaedf7a43916867a8514c7ba86925d690513e0
conv3,baseline,held_numerical_or_equilibrium_gate,,0.1,0.001,False,False,False,0.14107191200923117,0.8490535310465868,32,provenance/bounded_beta_checks/conv3_baseline_gmax_1em3_decade3/result.json,df6177e0aff966286bb0dc493f14ed3f52492a810f030b4be33710564bb80199
conv3,baseline,held_numerical_or_equilibrium_gate,,0.01,0.0001,True,True,True,0.9993031499932413,0.02150752036617357,32,provenance/bounded_beta_checks/conv3_baseline_gmax_1em4_decade4/result.json,b46308a648b443eabb1eeac63baddf0c93140b586731890d010ccd92af2cfda0
conv3,baseline,held_numerical_or_equilibrium_gate,,0.01,0.0005,False,True,False,0.7332778118612074,0.4390249993819753,32,provenance/bounded_beta_checks/conv3_baseline_gmax_5em4_decade4/result.json,594fd64bd5be27ef3e38b284de4a44bd1f8ca31603e7f63749df5c6a2dd43439
conv3,baseline,held_numerical_or_equilibrium_gate,,0.01,0.001,False,False,False,0.14128456379482374,0.8490334011597267,32,provenance/bounded_beta_checks/conv3_baseline_gmax_1em3_decade4/result.json,f439e907c056d195bec739f2bbe2c409e988d94c15c3f540d71c4fc747599720
conv3,ours,qualified,0.003,3.0,0.0001,False,True,False,-0.5281897902901499,1.9029781229598954,32,provenance/bounded_beta_checks/conv3_ours_gmax_1em4_decade0/result.json,0ad10b542911970f25dcf6401d9e7ac91a5ccc8dbbc820e5ed9197be29b12d51
conv3,ours,qualified,0.003,3.0,0.0005,False,True,False,-0.5281897902901499,1.9029781229598954,32,provenance/bounded_beta_checks/conv3_ours_gmax_5em4_decade0/result.json,d02eff48ed0cdb8f2637ee4e8a672a3dd432effb969284121bc546948eb34e34
conv3,ours,qualified,0.003,3.0,0.001,False,True,False,-0.5281897902901499,1.9029781229598954,32,provenance/bounded_beta_checks/conv3_ours_gmax_1em3_decade0/result.json,684e7d8bc2cb04c08169c664ca35f4d857a1a2ecb9c401e5ccef44ad16817dae
conv3,ours,qualified,0.003,0.30000000000000004,0.0001,False,True,False,0.3921374018943405,1.2144803961881765,32,provenance/bounded_beta_checks/conv3_ours_gmax_1em4_decade1/result.json,92dcbcb6dc1bababe5621f6a16eb227795d7b3ea017ea208e08ca5dc720318f5
conv3,ours,qualified,0.003,0.30000000000000004,0.0005,False,True,False,0.3921374018943405,1.2144803961881765,32,provenance/bounded_beta_checks/conv3_ours_gmax_5em4_decade1/result.json,5d6583468bc8776889a3c7a2236ff40828197f4fea551b43a24dabc13b3136f4
conv3,ours,qualified,0.003,0.30000000000000004,0.001,False,True,False,0.3921374018943405,1.2144803961881765,32,provenance/bounded_beta_checks/conv3_ours_gmax_1em3_decade1/result.json,d0f42777f29d007a366a39ac1215ac93dbc7ce3c9e7f7d2733f494bc9d3a685f
conv3,ours,qualified,0.003,0.03,0.0001,False,True,False,0.9480739736543785,0.308186697811495,32,provenance/bounded_beta_checks/conv3_ours_gmax_1em4_decade2/result.json,af04f5e9059412a13f7a004a6cae3e0c697954e9db306e6dc6466a9fde0562a0
conv3,ours,qualified,0.003,0.03,0.0005,False,True,False,0.9480739736543785,0.308186697811495,32,provenance/bounded_beta_checks/conv3_ours_gmax_5em4_decade2/result.json,e9fe0f22dd71223997955a8e4f64bfeecfbaf9408849ed3aa4170707e3f0dd9c
conv3,ours,qualified,0.003,0.03,0.001,False,True,False,0.9480739736543785,0.308186697811495,32,provenance/bounded_beta_checks/conv3_ours_gmax_1em3_decade2/result.json,1cd5d7de933e101bfae0d41920fab94c761fc3fae3aa7a5a94c3e86cbdca0294
conv3,ours,qualified,0.003,0.003,0.0001,True,True,True,0.9969936399784495,0.085076292860147,32,provenance/bounded_beta_checks/conv3_ours_gmax_1em4_decade3/result.json,240ed9f538cfc079b3f321a27c1c9fd613afada227e0ade65c3b839487ff886a
conv3,ours,qualified,0.003,0.003,0.0005,True,True,True,0.9969936399784495,0.085076292860147,32,provenance/bounded_beta_checks/conv3_ours_gmax_5em4_decade3/result.json,02d14829a9c5c168a060817e7fe60c177792d80ffec89dd199a9596fbb6a07c7
conv3,ours,qualified,0.003,0.003,0.001,True,True,True,0.9969936399784495,0.085076292860147,32,provenance/bounded_beta_checks/conv3_ours_gmax_1em3_decade3/result.json,68453401228831803fa459a590c221d1c304b180ab22cbcd92503c00ef28b6b6
conv3,legacy,qualified,0.001,0.001,0.0001,True,True,True,0.9974631552220482,0.05163326127345093,32,provenance/bounded_beta_checks/conv3_legacy_gmax_1em4_decade0/result.json,df48d5656aa4cbb020fe4114689e64e947cd3e22a1ded6f67df5b5c8fc09d9fc
conv3,legacy,qualified,0.001,0.001,0.0005,True,True,True,0.9974631552220482,0.05163326127345093,32,provenance/bounded_beta_checks/conv3_legacy_gmax_5em4_decade0/result.json,76e70813faf810241357ca727c13a11442cc3b1db16249ee9007aca91df5db79
conv3,legacy,qualified,0.001,0.001,0.001,True,True,True,0.9974631552220482,0.05163326127345093,32,provenance/bounded_beta_checks/conv3_legacy_gmax_1em3_decade0/result.json,00f6e20919185efb1eb50d1418a4f3164d7f68471efb885347a3b9041aabcefd
