architecture,scheme,beta,anchor,factor,checkpoint_role,layerwise_cosine,whole_gradient_cosine,layerwise_norm_delta,whole_gradient_norm_delta,residual_passed,state,result_directory
conv3,baseline,500.0,10,50,best_validation,0.9965512398158042,0.9983117898506858,0.027250787036461548,0.006644609772854528,False,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta500
conv3,baseline,750.0,10,75,reconstructed_initialization,0.6966297613989499,0.9940878242460005,0.4790166541397919,0.02365032080409119,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta750
conv3,baseline,750.0,10,75,best_validation,0.9944882023184662,0.9976115898546504,0.03581483200247178,0.007086071617478724,False,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta750
conv3,baseline,1000.0,10,100,reconstructed_initialization,0.5199856525639209,0.9849440060314771,0.5474526350412879,0.050286333221395065,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta1000
conv3,baseline,1000.0,10,100,best_validation,0.9932662548823058,0.996913189057291,0.04213325411282944,0.00998881740099993,False,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta1000
conv3,baseline,3000.0,10,300,reconstructed_initialization,-0.43606641292519505,0.8192147051510632,0.938087964114371,0.4820085777938729,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta3000
conv3,baseline,3000.0,10,300,best_validation,0.9849149199279229,0.991430096761927,0.062239274473930906,0.02440520564691878,False,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta3000
conv3,baseline,10000.0,10,1000,reconstructed_initialization,-0.6202959057886972,0.5756852319253318,1.5430766345457592,1.300092808764926,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta10000
conv3,baseline,10000.0,10,1000,best_validation,0.9625365154638907,0.9670165028654713,0.17803089967306374,0.07433802577938445,False,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_baseline_beta10000
conv3,ours,0.03,3,0.01,reconstructed_initialization,0.9996016845782522,0.9999997848653722,0.02466905496690039,1.9896138051908562e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta0p03
conv3,ours,0.03,3,0.01,best_validation,0.9998581036053021,0.9999640912667808,0.0036459120316336617,0.00015048441217555263,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta0p03
conv3,ours,0.09,3,0.03,reconstructed_initialization,0.998565256007526,0.9999991729216481,0.0224717917840994,3.6847295740768065e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta0p09
conv3,ours,0.09,3,0.03,best_validation,0.9997109248312332,0.999926866367061,0.0051958852319802604,0.00019437242060952583,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta0p09
conv3,ours,0.3,3,0.1,reconstructed_initialization,0.9930662426662995,0.9999966240722173,0.033669126789391005,5.6244637343652523e-05,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta0p3
conv3,ours,0.3,3,0.1,best_validation,0.9995598590017926,0.9998924364841353,0.013347290386784448,0.0003854293111971714,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta0p3
conv3,ours,0.9,3,0.3,reconstructed_initialization,0.9922298134866206,0.999990466724745,0.10890604947121049,0.00010137361779207033,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_ours_beta0p9
