scheme,injected_beta,base_beta,readout_sigma,parameter,batches,draws_per_batch,checkpoint_epoch,cosine_defined_count,cosine_min,cosine_p10,cosine_median,cosine_p90,cosine_max,clean_eqprop_bptt_cosine_defined_count,clean_eqprop_bptt_cosine_min,clean_eqprop_bptt_cosine_p10,clean_eqprop_bptt_cosine_median,clean_eqprop_bptt_cosine_p90,clean_eqprop_bptt_cosine_max,noisy_clean_eqprop_cosine_defined_count,noisy_clean_eqprop_cosine_min,noisy_clean_eqprop_cosine_p10,noisy_clean_eqprop_cosine_median,noisy_clean_eqprop_cosine_p90,noisy_clean_eqprop_cosine_max,eqprop_over_bptt_norm_ratio_defined_count,eqprop_over_bptt_norm_ratio_min,eqprop_over_bptt_norm_ratio_p10,eqprop_over_bptt_norm_ratio_median,eqprop_over_bptt_norm_ratio_p90,eqprop_over_bptt_norm_ratio_max,relative_l2_difference_over_bptt_defined_count,relative_l2_difference_over_bptt_min,relative_l2_difference_over_bptt_p10,relative_l2_difference_over_bptt_median,relative_l2_difference_over_bptt_p90,relative_l2_difference_over_bptt_max,bptt_rms_defined_count,bptt_rms_min,bptt_rms_p10,bptt_rms_median,bptt_rms_p90,bptt_rms_max,clean_eqprop_rms_defined_count,clean_eqprop_rms_min,clean_eqprop_rms_p10,clean_eqprop_rms_median,clean_eqprop_rms_p90,clean_eqprop_rms_max,eqprop_rms_defined_count,eqprop_rms_min,eqprop_rms_p10,eqprop_rms_median,eqprop_rms_p90,eqprop_rms_max,added_noise_rms_defined_count,added_noise_rms_min,added_noise_rms_p10,added_noise_rms_median,added_noise_rms_p90,added_noise_rms_max,noise_over_clean_norm_defined_count,noise_over_clean_norm_min,noise_over_clean_norm_p10,noise_over_clean_norm_median,noise_over_clean_norm_p90,noise_over_clean_norm_max,bptt_near_zero_fraction_defined_count,bptt_near_zero_fraction_min,bptt_near_zero_fraction_p10,bptt_near_zero_fraction_median,bptt_near_zero_fraction_p90,bptt_near_zero_fraction_max,clean_eqprop_near_zero_fraction_defined_count,clean_eqprop_near_zero_fraction_min,clean_eqprop_near_zero_fraction_p10,clean_eqprop_near_zero_fraction_median,clean_eqprop_near_zero_fraction_p90,clean_eqprop_near_zero_fraction_max,eqprop_near_zero_fraction_defined_count,eqprop_near_zero_fraction_min,eqprop_near_zero_fraction_p10,eqprop_near_zero_fraction_median,eqprop_near_zero_fraction_p90,eqprop_near_zero_fraction_max,fraction_cosine_above_0.90,all_endpoint_residual_gates_passed
baseline,0.01,0.01,0.0,ConvWeight_0,36,1,0,36,0.9999960003223102,0.9999994005646394,0.9999999753163931,0.9999999950174862,0.9999999977450695,36,0.9999960003223102,0.9999994005646394,0.9999999753163931,0.9999999950174862,0.9999999977450695,36,0.9999999999999998,0.9999999999999998,1.0,1.0000000000000002,1.0000000000000002,36,0.9993771994816943,0.9999302697143206,0.9999827435954892,1.0001222164463697,1.000519819497385,36,7.82289176896241e-05,0.00010608282963659918,0.00022296061727408937,0.001230011494264041,0.002830871777698319,36,1.487013692803692e-05,2.358917012265396e-05,3.5342085165852094e-05,7.592033362781505e-05,0.0001016269618514108,36,1.4870353815272212e-05,2.358989511514089e-05,3.533121249179592e-05,7.59185431830039e-05,0.00010162266925129223,36,1.4870353815272212e-05,2.358989511514089e-05,3.533121249179592e-05,7.59185431830039e-05,0.00010162266925129223,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0008680555555555555,36,0.0,0.0,0.0,0.0,0.0008680555555555555,1.0,True
baseline,0.01,0.01,0.0,ConvWeight_1,36,1,0,36,0.9999989265076356,0.999999609137751,0.9999999998133142,0.999999999972579,0.9999999999894541,36,0.9999989265076356,0.999999609137751,0.9999999998133142,0.999999999972579,0.9999999999894541,36,0.9999999999999798,0.9999999999999821,0.9999999999999856,0.9999999999999887,0.9999999999999908,36,0.9998459346532051,1.0000000795279504,1.0000018297821311,1.0000484607186753,1.000237301941129,36,4.592597144903046e-06,7.4067971438959706e-06,1.9460212152232478e-05,0.0009054538257378061,0.0014658329784304096,36,2.2030462917751595e-06,2.437703730371551e-06,2.7137377430664567e-06,3.4262649832935285e-06,4.271508161193056e-06,36,2.2030467163543964e-06,2.4377049622706173e-06,2.713740412585939e-06,3.4263130860402713e-06,4.2715372222478175e-06,36,2.2030467163543964e-06,2.4377049622706173e-06,2.713740412585939e-06,3.4263130860402713e-06,4.2715372222478175e-06,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,1.3563368055555555e-05,36,0.0,0.0,0.0,1.3563368055555555e-05,1.3563368055555555e-05,36,0.0,0.0,0.0,1.3563368055555555e-05,1.3563368055555555e-05,1.0,True
baseline,0.01,0.01,0.0,ConvWeight_2,36,1,0,36,0.9999990189398579,0.9999997154130056,0.9999999999999711,0.9999999999999949,0.9999999999999993,36,0.9999990189398579,0.9999997154130056,0.9999999999999711,0.9999999999999949,0.9999999999999993,36,0.999999999999993,0.9999999999999944,0.9999999999999998,1.0000000000000058,1.0000000000000082,36,0.9999831822569201,0.9999993160726504,0.9999999968774973,1.0000002148936566,1.0000521289347393,36,5.963197830736401e-08,9.290830345304872e-08,2.4060977700601406e-07,0.0007529124950138799,0.0014007567411775095,36,2.3104475367001286e-06,2.347845666716152e-06,2.640595610815321e-06,2.844265211780852e-06,2.9589854256169647e-06,36,2.310447528339319e-06,2.347825791948509e-06,2.6405956055416304e-06,2.8442680478146406e-06,2.9589854263197048e-06,36,2.310447528339319e-06,2.347825791948509e-06,2.6405956055416304e-06,2.8442680478146406e-06,2.9589854263197048e-06,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,3.3908420138888887e-06,36,0.0,0.0,0.0,0.0,3.3908420138888887e-06,36,0.0,0.0,0.0,0.0,3.3908420138888887e-06,1.0,True
baseline,0.01,0.01,0.0,DenseWeight_0,36,1,0,36,0.9999999999998896,0.9999999999999525,0.999999999999996,1.0000000000000342,1.0000000000000588,36,0.9999999999998896,0.9999999999999525,0.999999999999996,1.0000000000000342,1.0000000000000588,36,0.9999999999998678,0.9999999999999242,1.0000000000000004,1.0000000000000655,1.0000000000001406,36,0.9999999976200553,0.9999999990676536,1.0000000017198711,1.000000004269208,1.0000000053570202,36,5.619163883358614e-09,6.131417044928844e-09,9.506637965425282e-09,8.678891840452274e-08,2.299061212332783e-07,36,8.163833128207787e-05,8.480197002334858e-05,9.423980978135194e-05,0.00010643494093854784,0.0001137129627120389,36,8.163833157429286e-05,8.480197028112098e-05,9.423980990003173e-05,0.00010643494102693364,0.00011371296298558912,36,8.163833157429286e-05,8.480197028112098e-05,9.423980990003173e-05,0.00010643494102693364,0.00011371296298558912,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,7.971938775510205e-06,1.594387755102041e-05,36,0.0,0.0,0.0,5.978954081632654e-06,1.1957908163265306e-05,36,0.0,0.0,0.0,5.978954081632654e-06,1.1957908163265306e-05,1.0,True
baseline,0.01,0.01,1e-05,ConvWeight_0,36,1,0,36,-0.24246895915673705,-0.12836093267053933,-0.04982440949370554,0.09225620923832009,0.1684303438327945,36,0.9999960003223102,0.9999994005646394,0.9999999753163931,0.9999999950174862,0.9999999977450695,36,-0.24245002460418535,-0.12830684159674316,-0.04996469806513311,0.09220209708782387,0.16843523211781736,36,2649.9387636833385,3438.514946413946,7093.044681963354,11362.774876986998,19924.040436741747,36,2650.012685039943,3438.601714046246,7093.037633457035,11362.756658941966,19924.086434952213,36,1.487013692803692e-05,2.358917012265396e-05,3.5342085165852094e-05,7.592033362781505e-05,0.0001016269618514108,36,1.4870353815272212e-05,2.358989511514089e-05,3.533121249179592e-05,7.59185431830039e-05,0.00010162266925129223,36,0.23181874467983699,0.24597682344396132,0.26491061780081676,0.2904794658795049,0.31783775446331003,36,0.23182444567308966,0.2459726578546416,0.26491348474582954,0.2904791987990957,0.31784324685738413,36,2650.1246205612683,3438.680733509216,7093.219194050469,11362.982154796635,19923.79588286624,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0008680555555555555,36,0.0,0.0,0.0,0.0,0.0,0.0,True
baseline,0.01,0.01,1e-05,ConvWeight_1,36,1,0,36,-0.05185382980882837,-0.03500221603653861,0.008126129443774707,0.049819812007849296,0.06547236091875318,36,0.9999989265076356,0.999999609137751,0.9999999998133142,0.999999999972579,0.9999999999894541,36,-0.05187090443573096,-0.03500397001387767,0.008126238008939662,0.04981963773432069,0.06547331849519464,36,2323.5409944258017,2879.590682756927,3751.754285146584,4194.436507605711,4695.420170169504,36,2323.5498435985955,2879.5913506215343,3751.7099078982287,4194.425084953606,4695.403157632851,36,2.2030462917751595e-06,2.437703730371551e-06,2.7137377430664567e-06,3.4262649832935285e-06,4.271508161193056e-06,36,2.2030467163543964e-06,2.4377049622706173e-06,2.713740412585939e-06,3.4263130860402713e-06,4.2715372222478175e-06,36,0.00930896146782921,0.00951418400859699,0.009971920811886532,0.010459397157818006,0.012090860929607618,36,0.00930909830854825,0.009514247844203535,0.009971892883004107,0.010459390379380323,0.012090817118498569,36,2323.534035368549,2879.558898492466,3751.7071753675846,4194.424766085411,4695.4025298744855,36,0.0,0.0,0.0,0.0,1.3563368055555555e-05,36,0.0,0.0,0.0,1.3563368055555555e-05,1.3563368055555555e-05,36,0.0,0.0,0.0,0.0,0.0,0.0,True
baseline,0.01,0.01,1e-05,ConvWeight_2,36,1,0,36,-0.013275499760867298,-0.0067913480722188065,0.01800699466404567,0.03867751332293525,0.0661747779224657,36,0.9999990189398579,0.9999997154130056,0.9999999999999711,0.9999999999999949,0.9999999999999993,36,-0.013275519883803428,-0.006791541821471755,0.0179939895488299,0.038664310265543414,0.06617479889258851,36,52.018440788731056,56.966109774838955,62.154063889324775,68.50016476649002,71.0642949193613,36,52.022697451981855,56.9672120195321,62.13474797910409,68.49671130036822,71.0610418958407,36,2.3104475367001286e-06,2.347845666716152e-06,2.640595610815321e-06,2.844265211780852e-06,2.9589854256169647e-06,36,2.310447528339319e-06,2.347825791948509e-06,2.6405956055416304e-06,2.8442680478146406e-06,2.9589854263197048e-06,36,0.00014742536750179196,0.00015200525295014426,0.00015987506682369835,0.00017588204878757384,0.00018727427646276424,36,0.000147278149398132,0.00015197803260587345,0.0001598926718535987,0.00017583602850185752,0.000187237942677298,36,52.02263662388761,56.967212908664436,62.133143690147094,68.49671133213505,71.06104178750508,36,0.0,0.0,0.0,0.0,3.3908420138888887e-06,36,0.0,0.0,0.0,0.0,3.3908420138888887e-06,36,0.0,0.0,0.0,0.0,0.0,0.0,True
baseline,0.01,0.01,1e-05,DenseWeight_0,36,1,0,36,0.9976779499957976,0.997890490488692,0.9983465145684707,0.9986283702648915,0.9988404118225553,36,0.9999999999998896,0.9999999999999525,0.999999999999996,1.0000000000000342,1.0000000000000588,36,0.9976779500506723,0.997890490601159,0.9983465145609987,0.9986283702551495,0.9988404117851027,36,0.9875297016031013,0.9907469864384835,1.0014484670252863,1.009679124278158,1.015705886853075,36,0.04945466485421112,0.053231179860937186,0.057867380552038494,0.06551251664956799,0.07007420982290372,36,8.163833128207787e-05,8.480197002334858e-05,9.423980978135194e-05,0.00010643494093854784,0.0001137129627120389,36,8.163833157429286e-05,8.480197028112098e-05,9.423980990003173e-05,0.00010643494102693364,0.00011371296298558912,36,8.117469817219845e-05,8.463801420890562e-05,9.515978784935028e-05,0.0001071114892827498,0.00011329752501441327,36,4.926017910906114e-06,5.0309044674710365e-06,5.517039062717575e-06,6.165941197996286e-06,6.550592516089638e-06,36,0.04945466680597956,0.053231179831591036,0.05786738042721313,0.06551251679956027,0.07007420817469039,36,0.0,0.0,0.0,7.971938775510205e-06,1.594387755102041e-05,36,0.0,0.0,0.0,5.978954081632654e-06,1.1957908163265306e-05,36,0.0,0.0,0.0,0.0,0.0,1.0,True
baseline,0.01,0.01,3e-05,ConvWeight_0,36,1,0,36,-0.2425136764952901,-0.12848537665120546,-0.04989676702878695,0.09210628964878172,0.16833597246371962,36,0.9999960003223102,0.9999994005646394,0.9999999753163931,0.9999999950174862,0.9999999977450695,36,-0.2424947421587402,-0.12843128629915684,-0.0500370553195411,0.09205217670181821,0.16834086082993233,36,7949.964003159013,10315.718260357495,21279.119860552528,34088.28815653162,59772.21322404183,36,7950.0380496035905,10315.805124220627,21279.112858962108,34088.26996732921,59772.25923894588,36,1.487013692803692e-05,2.358917012265396e-05,3.5342085165852094e-05,7.592033362781505e-05,0.0001016269618514108,36,1.4870353815272212e-05,2.358989511514089e-05,3.533121249179592e-05,7.59185431830039e-05,0.00010162266925129223,36,0.695467632947981,0.7379221340017085,0.7947375846437669,0.8714378620531023,0.9535242480350026,36,0.6954733372720284,0.7379179738990279,0.7947404532253033,0.8714375964346803,0.9535297409355249,36,7950.37386125094,10316.042185057544,21279.657530522447,34088.94642876409,59771.38749288576,36,0.0,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0008680555555555555,36,0.0,0.0,0.0,0.0,0.0,0.0,True
baseline,0.01,0.01,3e-05,ConvWeight_1,36,1,0,36,-0.052041733790547016,-0.035202868364162504,0.007971108322992927,0.04965215839866126,0.06527107115443972,36,0.9999989265076356,0.999999609137751,0.9999999998133142,0.999999999972579,0.9999999999894541,36,-0.052058808337064985,-0.03520462232781385,0.00797121688848934,0.049651984124886944,0.06527202874431808,36,6970.641444716678,8638.773579635632,11255.17424375797,12583.286561498764,14086.227245459779,36,6970.650437350497,8638.774363141785,11255.129955183009,12583.275218204471,14086.210303882817,36,2.2030462917751595e-06,2.437703730371551e-06,2.7137377430664567e-06,3.4262649832935285e-06,4.271508161193056e-06,36,2.2030467163543964e-06,2.4377049622706173e-06,2.713740412585939e-06,3.4263130860402713e-06,4.2715372222478175e-06,36,0.027927159621396715,0.02854267985284765,0.029915703837150476,0.03137817650972226,0.03627249713023131,36,0.027927296709291782,0.028542743988927893,0.029915676117878938,0.03137816994755513,0.03627245350184584,36,6970.603012950905,8638.677005481268,11255.121758397167,12583.274261743172,14086.208423146763,36,0.0,0.0,0.0,0.0,1.3563368055555555e-05,36,0.0,0.0,0.0,1.3563368055555555e-05,1.3563368055555555e-05,36,0.0,0.0,0.0,0.0,0.0,0.0,True
