architecture,scheme,checkpoint_role,grouping,cosine_threshold,norm_gate,current_anchor,ratio_to_anchor,selected_beta,upper_edge_open,passing_regions,passing_count
conv1,ours,both,whole_gradient,0.95,False,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,both,whole_gradient,0.99,False,30,50.0,1500.0,False,"[{'low': 0.3, 'high': 1500.0}]",13
conv1,ours,both,whole_gradient,0.9,True,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,both,whole_gradient,0.95,True,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,both,whole_gradient,0.99,True,30,50.0,1500.0,False,"[{'low': 0.3, 'high': 1500.0}]",13
conv1,ours,reconstructed_initialization,layerwise,0.9,False,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,reconstructed_initialization,layerwise,0.95,False,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,reconstructed_initialization,layerwise,0.99,False,30,20.0,600.0,False,"[{'low': 0.3, 'high': 600.0}]",11
conv1,ours,reconstructed_initialization,layerwise,0.9,True,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,reconstructed_initialization,layerwise,0.95,True,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,reconstructed_initialization,layerwise,0.99,True,30,20.0,600.0,False,"[{'low': 0.3, 'high': 600.0}]",11
conv1,ours,reconstructed_initialization,whole_gradient,0.9,False,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,reconstructed_initialization,whole_gradient,0.95,False,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,reconstructed_initialization,whole_gradient,0.99,False,30,50.0,1500.0,False,"[{'low': 0.3, 'high': 1500.0}]",13
conv1,ours,reconstructed_initialization,whole_gradient,0.9,True,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,reconstructed_initialization,whole_gradient,0.95,True,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,reconstructed_initialization,whole_gradient,0.99,True,30,50.0,1500.0,False,"[{'low': 0.3, 'high': 1500.0}]",13
conv1,ours,best_validation,layerwise,0.9,False,30,75.0,2250.0,False,"[{'low': 0.3, 'high': 2250.0}]",14
conv1,ours,best_validation,layerwise,0.95,False,30,50.0,1500.0,False,"[{'low': 0.3, 'high': 1500.0}]",13
conv1,ours,best_validation,layerwise,0.99,False,30,10.0,300.0,False,"[{'low': 0.3, 'high': 300.0}]",10
conv1,ours,best_validation,layerwise,0.9,True,30,75.0,2250.0,False,"[{'low': 0.3, 'high': 2250.0}]",14
conv1,ours,best_validation,layerwise,0.95,True,30,50.0,1500.0,False,"[{'low': 0.3, 'high': 1500.0}]",13
conv1,ours,best_validation,layerwise,0.99,True,30,10.0,300.0,False,"[{'low': 0.3, 'high': 300.0}]",10
conv1,ours,best_validation,whole_gradient,0.9,False,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,best_validation,whole_gradient,0.95,False,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,best_validation,whole_gradient,0.99,False,30,50.0,1500.0,False,"[{'low': 0.3, 'high': 1500.0}]",13
conv1,ours,best_validation,whole_gradient,0.9,True,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,best_validation,whole_gradient,0.95,True,30,100.0,3000.0,False,"[{'low': 0.3, 'high': 3000.0}]",15
conv1,ours,best_validation,whole_gradient,0.99,True,30,50.0,1500.0,False,"[{'low': 0.3, 'high': 1500.0}]",13
conv1,legacy,both,layerwise,0.9,False,3,300.0,900.0,False,"[{'low': 0.03, 'high': 900.0}]",16
conv1,legacy,both,layerwise,0.95,False,3,100.0,300.0,False,"[{'low': 0.03, 'high': 300.0}]",15
conv1,legacy,both,layerwise,0.99,False,3,20.0,60.0,False,"[{'low': 0.03, 'high': 60.0}]",11
conv1,legacy,both,layerwise,0.9,True,3,100.0,300.0,False,"[{'low': 0.03, 'high': 300.0}]",15
conv1,legacy,both,layerwise,0.95,True,3,100.0,300.0,False,"[{'low': 0.03, 'high': 300.0}]",15
conv1,legacy,both,layerwise,0.99,True,3,20.0,60.0,False,"[{'low': 0.03, 'high': 60.0}]",11
conv1,legacy,both,whole_gradient,0.9,False,3,1000.0,3000.0,True,"[{'low': 0.03, 'high': 3000.0}]",17
conv1,legacy,both,whole_gradient,0.95,False,3,300.0,900.0,False,"[{'low': 0.03, 'high': 900.0}]",16
conv1,legacy,both,whole_gradient,0.99,False,3,300.0,900.0,False,"[{'low': 0.03, 'high': 900.0}]",16
conv1,legacy,both,whole_gradient,0.9,True,3,1000.0,3000.0,True,"[{'low': 0.03, 'high': 3000.0}]",17
conv1,legacy,both,whole_gradient,0.95,True,3,300.0,900.0,False,"[{'low': 0.03, 'high': 900.0}]",16
conv1,legacy,both,whole_gradient,0.99,True,3,300.0,900.0,False,"[{'low': 0.03, 'high': 900.0}]",16
conv1,legacy,reconstructed_initialization,layerwise,0.9,False,3,1000.0,3000.0,True,"[{'low': 0.03, 'high': 3000.0}]",17
conv1,legacy,reconstructed_initialization,layerwise,0.95,False,3,1000.0,3000.0,True,"[{'low': 0.03, 'high': 3000.0}]",17
conv1,legacy,reconstructed_initialization,layerwise,0.99,False,3,100.0,300.0,False,"[{'low': 0.03, 'high': 300.0}]",15
conv1,legacy,reconstructed_initialization,layerwise,0.9,True,3,1000.0,3000.0,True,"[{'low': 0.03, 'high': 3000.0}]",17
conv1,legacy,reconstructed_initialization,layerwise,0.95,True,3,1000.0,3000.0,True,"[{'low': 0.03, 'high': 3000.0}]",17
conv1,legacy,reconstructed_initialization,layerwise,0.99,True,3,100.0,300.0,False,"[{'low': 0.03, 'high': 300.0}]",15
conv1,legacy,reconstructed_initialization,whole_gradient,0.9,False,3,1000.0,3000.0,True,"[{'low': 0.03, 'high': 3000.0}]",17
conv1,legacy,reconstructed_initialization,whole_gradient,0.95,False,3,1000.0,3000.0,True,"[{'low': 0.03, 'high': 3000.0}]",17
conv1,legacy,reconstructed_initialization,whole_gradient,0.99,False,3,300.0,900.0,False,"[{'low': 0.03, 'high': 900.0}]",16
conv1,legacy,reconstructed_initialization,whole_gradient,0.9,True,3,1000.0,3000.0,True,"[{'low': 0.03, 'high': 3000.0}]",17
conv1,legacy,reconstructed_initialization,whole_gradient,0.95,True,3,1000.0,3000.0,True,"[{'low': 0.03, 'high': 3000.0}]",17
conv1,legacy,reconstructed_initialization,whole_gradient,0.99,True,3,300.0,900.0,False,"[{'low': 0.03, 'high': 900.0}]",16
conv1,legacy,best_validation,layerwise,0.9,False,3,300.0,900.0,False,"[{'low': 0.03, 'high': 900.0}]",16
conv1,legacy,best_validation,layerwise,0.95,False,3,100.0,300.0,False,"[{'low': 0.03, 'high': 300.0}]",15
conv1,legacy,best_validation,layerwise,0.99,False,3,20.0,60.0,False,"[{'low': 0.03, 'high': 60.0}]",11
conv1,legacy,best_validation,layerwise,0.9,True,3,100.0,300.0,False,"[{'low': 0.03, 'high': 300.0}]",15
conv1,legacy,best_validation,layerwise,0.95,True,3,100.0,300.0,False,"[{'low': 0.03, 'high': 300.0}]",15
