architecture,scheme,checkpoint_role,grouping,cosine_threshold,norm_gate,current_anchor,ratio_to_anchor,selected_beta,upper_edge_open,passing_regions,passing_count
conv2,legacy,best_validation,whole_gradient,0.95,True,0.03,1000.0,30.0,True,"[{'low': 0.0003, 'high': 30.0}]",17
conv2,legacy,best_validation,whole_gradient,0.99,True,0.03,1000.0,30.0,True,"[{'low': 0.0003, 'high': 30.0}]",17
conv3,baseline,both,layerwise,0.9,False,10,30.0,300.0,False,"[{'low': 0.1, 'high': 300.0}]",12
conv3,baseline,both,layerwise,0.95,False,10,10.0,100.0,False,"[{'low': 0.1, 'high': 100.0}]",10
conv3,baseline,both,layerwise,0.99,False,10,1.0,10.0,False,"[{'low': 0.1, 'high': 10.0}]",5
conv3,baseline,both,layerwise,0.9,True,10,5.0,50.0,False,"[{'low': 0.1, 'high': 50.0}]",8
conv3,baseline,both,layerwise,0.95,True,10,5.0,50.0,False,"[{'low': 0.1, 'high': 50.0}]",8
conv3,baseline,both,layerwise,0.99,True,10,1.0,10.0,False,"[{'low': 0.1, 'high': 10.0}]",5
conv3,baseline,both,whole_gradient,0.9,False,10,100.0,1000.0,False,"[{'low': 0.1, 'high': 1000.0}]",15
conv3,baseline,both,whole_gradient,0.95,False,10,100.0,1000.0,False,"[{'low': 0.1, 'high': 1000.0}]",15
conv3,baseline,both,whole_gradient,0.99,False,10,75.0,750.0,False,"[{'low': 0.1, 'high': 750.0}]",14
conv3,baseline,both,whole_gradient,0.9,True,10,100.0,1000.0,False,"[{'low': 0.1, 'high': 1000.0}]",15
conv3,baseline,both,whole_gradient,0.95,True,10,100.0,1000.0,False,"[{'low': 0.1, 'high': 1000.0}]",15
conv3,baseline,both,whole_gradient,0.99,True,10,75.0,750.0,False,"[{'low': 0.1, 'high': 750.0}]",14
conv3,baseline,reconstructed_initialization,layerwise,0.9,False,10,30.0,300.0,False,"[{'low': 0.1, 'high': 300.0}]",12
conv3,baseline,reconstructed_initialization,layerwise,0.95,False,10,10.0,100.0,False,"[{'low': 0.1, 'high': 100.0}]",10
conv3,baseline,reconstructed_initialization,layerwise,0.99,False,10,1.0,10.0,False,"[{'low': 0.1, 'high': 10.0}]",5
conv3,baseline,reconstructed_initialization,layerwise,0.9,True,10,5.0,50.0,False,"[{'low': 0.1, 'high': 50.0}]",8
conv3,baseline,reconstructed_initialization,layerwise,0.95,True,10,5.0,50.0,False,"[{'low': 0.1, 'high': 50.0}]",8
conv3,baseline,reconstructed_initialization,layerwise,0.99,True,10,1.0,10.0,False,"[{'low': 0.1, 'high': 10.0}]",5
conv3,baseline,reconstructed_initialization,whole_gradient,0.9,False,10,100.0,1000.0,False,"[{'low': 0.1, 'high': 1000.0}]",15
conv3,baseline,reconstructed_initialization,whole_gradient,0.95,False,10,100.0,1000.0,False,"[{'low': 0.1, 'high': 1000.0}]",15
conv3,baseline,reconstructed_initialization,whole_gradient,0.99,False,10,75.0,750.0,False,"[{'low': 0.1, 'high': 750.0}]",14
conv3,baseline,reconstructed_initialization,whole_gradient,0.9,True,10,100.0,1000.0,False,"[{'low': 0.1, 'high': 1000.0}]",15
conv3,baseline,reconstructed_initialization,whole_gradient,0.95,True,10,100.0,1000.0,False,"[{'low': 0.1, 'high': 1000.0}]",15
conv3,baseline,reconstructed_initialization,whole_gradient,0.99,True,10,75.0,750.0,False,"[{'low': 0.1, 'high': 750.0}]",14
conv3,baseline,best_validation,layerwise,0.9,False,10,1000.0,10000.0,True,"[{'low': 0.1, 'high': 10000.0}]",17
conv3,baseline,best_validation,layerwise,0.95,False,10,1000.0,10000.0,True,"[{'low': 0.1, 'high': 10000.0}]",17
conv3,baseline,best_validation,layerwise,0.99,False,10,100.0,1000.0,False,"[{'low': 0.1, 'high': 1000.0}]",15
conv3,baseline,best_validation,layerwise,0.9,True,10,300.0,3000.0,False,"[{'low': 0.1, 'high': 3000.0}]",16
conv3,baseline,best_validation,layerwise,0.95,True,10,300.0,3000.0,False,"[{'low': 0.1, 'high': 3000.0}]",16
conv3,baseline,best_validation,layerwise,0.99,True,10,100.0,1000.0,False,"[{'low': 0.1, 'high': 1000.0}]",15
conv3,baseline,best_validation,whole_gradient,0.9,False,10,1000.0,10000.0,True,"[{'low': 0.1, 'high': 10000.0}]",17
conv3,baseline,best_validation,whole_gradient,0.95,False,10,1000.0,10000.0,True,"[{'low': 0.1, 'high': 10000.0}]",17
conv3,baseline,best_validation,whole_gradient,0.99,False,10,300.0,3000.0,False,"[{'low': 0.1, 'high': 3000.0}]",16
conv3,baseline,best_validation,whole_gradient,0.9,True,10,1000.0,10000.0,True,"[{'low': 0.1, 'high': 10000.0}]",17
conv3,baseline,best_validation,whole_gradient,0.95,True,10,1000.0,10000.0,True,"[{'low': 0.1, 'high': 10000.0}]",17
conv3,baseline,best_validation,whole_gradient,0.99,True,10,300.0,3000.0,False,"[{'low': 0.1, 'high': 3000.0}]",16
conv3,ours,both,layerwise,0.9,False,3,1.0,3.0,False,"[{'low': 0.03, 'high': 3.0}]",5
conv3,ours,both,layerwise,0.95,False,3,0.3,0.9,False,"[{'low': 0.03, 'high': 0.9}]",4
conv3,ours,both,layerwise,0.99,False,3,0.3,0.9,False,"[{'low': 0.03, 'high': 0.9}]",4
conv3,ours,both,layerwise,0.9,True,3,0.09999999999999999,0.3,False,"[{'low': 0.03, 'high': 0.3}]",3
conv3,ours,both,layerwise,0.95,True,3,0.09999999999999999,0.3,False,"[{'low': 0.03, 'high': 0.3}]",3
conv3,ours,both,layerwise,0.99,True,3,0.09999999999999999,0.3,False,"[{'low': 0.03, 'high': 0.3}]",3
conv3,ours,both,whole_gradient,0.9,False,3,10.0,30.0,False,"[{'low': 0.03, 'high': 30.0}]",10
conv3,ours,both,whole_gradient,0.95,False,3,10.0,30.0,False,"[{'low': 0.03, 'high': 30.0}]",10
conv3,ours,both,whole_gradient,0.99,False,3,7.5,22.5,False,"[{'low': 0.03, 'high': 22.5}]",9
conv3,ours,both,whole_gradient,0.9,True,3,10.0,30.0,False,"[{'low': 0.03, 'high': 30.0}]",10
conv3,ours,both,whole_gradient,0.95,True,3,10.0,30.0,False,"[{'low': 0.03, 'high': 30.0}]",10
conv3,ours,both,whole_gradient,0.99,True,3,7.5,22.5,False,"[{'low': 0.03, 'high': 22.5}]",9
conv3,ours,reconstructed_initialization,layerwise,0.9,False,3,1.0,3.0,False,"[{'low': 0.03, 'high': 3.0}]",5
conv3,ours,reconstructed_initialization,layerwise,0.95,False,3,0.3,0.9,False,"[{'low': 0.03, 'high': 0.9}]",4
conv3,ours,reconstructed_initialization,layerwise,0.99,False,3,0.3,0.9,False,"[{'low': 0.03, 'high': 0.9}]",4
conv3,ours,reconstructed_initialization,layerwise,0.9,True,3,0.09999999999999999,0.3,False,"[{'low': 0.03, 'high': 0.3}]",3
conv3,ours,reconstructed_initialization,layerwise,0.95,True,3,0.09999999999999999,0.3,False,"[{'low': 0.03, 'high': 0.3}]",3
conv3,ours,reconstructed_initialization,layerwise,0.99,True,3,0.09999999999999999,0.3,False,"[{'low': 0.03, 'high': 0.3}]",3
conv3,ours,reconstructed_initialization,whole_gradient,0.9,False,3,10.0,30.0,False,"[{'low': 0.03, 'high': 30.0}]",10
conv3,ours,reconstructed_initialization,whole_gradient,0.95,False,3,10.0,30.0,False,"[{'low': 0.03, 'high': 30.0}]",10
conv3,ours,reconstructed_initialization,whole_gradient,0.99,False,3,7.5,22.5,False,"[{'low': 0.03, 'high': 22.5}]",9
conv3,ours,reconstructed_initialization,whole_gradient,0.9,True,3,10.0,30.0,False,"[{'low': 0.03, 'high': 30.0}]",10
conv3,ours,reconstructed_initialization,whole_gradient,0.95,True,3,10.0,30.0,False,"[{'low': 0.03, 'high': 30.0}]",10
conv3,ours,reconstructed_initialization,whole_gradient,0.99,True,3,7.5,22.5,False,"[{'low': 0.03, 'high': 22.5}]",9
conv3,ours,best_validation,layerwise,0.9,False,3,100.0,300.0,False,"[{'low': 0.03, 'high': 300.0}]",15
conv3,ours,best_validation,layerwise,0.95,False,3,30.0,90.0,False,"[{'low': 0.03, 'high': 90.0}]",12
conv3,ours,best_validation,layerwise,0.99,False,3,5.0,15.0,False,"[{'low': 0.03, 'high': 15.0}]",8
conv3,ours,best_validation,layerwise,0.9,True,3,7.5,22.5,False,"[{'low': 0.03, 'high': 22.5}]",9
conv3,ours,best_validation,layerwise,0.95,True,3,7.5,22.5,False,"[{'low': 0.03, 'high': 22.5}]",9
conv3,ours,best_validation,layerwise,0.99,True,3,5.0,15.0,False,"[{'low': 0.03, 'high': 15.0}]",8
conv3,ours,best_validation,whole_gradient,0.9,False,3,100.0,300.0,False,"[{'low': 0.03, 'high': 300.0}]",15
conv3,ours,best_validation,whole_gradient,0.95,False,3,100.0,300.0,False,"[{'low': 0.03, 'high': 300.0}]",15
conv3,ours,best_validation,whole_gradient,0.99,False,3,30.0,90.0,False,"[{'low': 0.03, 'high': 90.0}]",12
conv3,ours,best_validation,whole_gradient,0.9,True,3,100.0,300.0,False,"[{'low': 0.03, 'high': 300.0}]",15
conv3,ours,best_validation,whole_gradient,0.95,True,3,100.0,300.0,False,"[{'low': 0.03, 'high': 300.0}]",15
conv3,ours,best_validation,whole_gradient,0.99,True,3,30.0,90.0,False,"[{'low': 0.03, 'high': 90.0}]",12
conv3,legacy,both,layerwise,0.9,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,both,layerwise,0.95,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,both,layerwise,0.99,False,0.001,100.0,0.1,False,"[{'low': 1e-05, 'high': 0.1}]",15
conv3,legacy,both,layerwise,0.9,True,0.001,300.0,0.3,False,"[{'low': 1e-05, 'high': 0.3}]",16
conv3,legacy,both,layerwise,0.95,True,0.001,300.0,0.3,False,"[{'low': 1e-05, 'high': 0.3}]",16
conv3,legacy,both,layerwise,0.99,True,0.001,100.0,0.1,False,"[{'low': 1e-05, 'high': 0.1}]",15
conv3,legacy,both,whole_gradient,0.9,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,both,whole_gradient,0.95,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,both,whole_gradient,0.99,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,both,whole_gradient,0.9,True,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,both,whole_gradient,0.95,True,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,both,whole_gradient,0.99,True,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,reconstructed_initialization,layerwise,0.9,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,reconstructed_initialization,layerwise,0.95,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,reconstructed_initialization,layerwise,0.99,False,0.001,100.0,0.1,False,"[{'low': 1e-05, 'high': 0.1}]",15
conv3,legacy,reconstructed_initialization,layerwise,0.9,True,0.001,300.0,0.3,False,"[{'low': 1e-05, 'high': 0.3}]",16
conv3,legacy,reconstructed_initialization,layerwise,0.95,True,0.001,300.0,0.3,False,"[{'low': 1e-05, 'high': 0.3}]",16
conv3,legacy,reconstructed_initialization,layerwise,0.99,True,0.001,100.0,0.1,False,"[{'low': 1e-05, 'high': 0.1}]",15
conv3,legacy,reconstructed_initialization,whole_gradient,0.9,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,reconstructed_initialization,whole_gradient,0.95,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,reconstructed_initialization,whole_gradient,0.99,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,reconstructed_initialization,whole_gradient,0.9,True,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,reconstructed_initialization,whole_gradient,0.95,True,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,reconstructed_initialization,whole_gradient,0.99,True,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,best_validation,layerwise,0.9,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,best_validation,layerwise,0.95,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,best_validation,layerwise,0.99,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,best_validation,layerwise,0.9,True,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,best_validation,layerwise,0.95,True,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,best_validation,layerwise,0.99,True,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,best_validation,whole_gradient,0.9,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,best_validation,whole_gradient,0.95,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,best_validation,whole_gradient,0.99,False,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,best_validation,whole_gradient,0.9,True,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,best_validation,whole_gradient,0.95,True,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
conv3,legacy,best_validation,whole_gradient,0.99,True,0.001,1000.0,1.0,True,"[{'low': 1e-05, 'high': 1.0}]",17
