architecture,scheme,checkpoint_role,T,K,injected_beta,base_beta,layer_index,state_layer_name,phase,raw_rms,controlled_rms,zero_drift_rms,raw_to_control_ratio,drift_to_control_ratio,response_over_max_T_response,max_reference_T,free_state_rms,free_state_mean,batch_median_drift_to_control,batch_p95_drift_to_control,batch_max_drift_to_control,source_checkpoint_epoch
conv2,legacy,reconstructed_initialization,8,6,0.03,0.0001171875,3,Layer_3,positive,0.12222667773321999,0.12222667344079793,1.6592843340149182e-06,1.0000000351185379,1.3575468327039221e-05,1.0000000130017748,16,0.19647180424614952,0.021965098989970015,1.3122917656445898e-05,1.692660136397684e-05,1.8488317360250282e-05,0
conv2,legacy,reconstructed_initialization,8,6,0.03,0.0001171875,3,Layer_3,negative,0.12222666940498235,0.12222667367484727,1.6592843340149182e-06,0.9999999650660139,1.3575468301043836e-05,1.0000000130017737,16,0.19647180424614952,0.021965098989970015,1.312291765888016e-05,1.6926601251365234e-05,1.848831583161855e-05,0
conv3,baseline,reconstructed_initialization,12,8,10,10.0,1,Layer_1,positive,4.86929621582731e-07,4.869232671877153e-07,2.8450971368048325e-10,1.0000130500952489,0.0005843009214238289,0.9999999999997387,24,6.826719202544491,-0.004508255343779121,0.0005797891569284602,0.0007355677569135611,0.000781571128537526,0
conv3,baseline,reconstructed_initialization,12,8,10,10.0,1,Layer_1,negative,4.869897282510947e-07,4.869960061903829e-07,2.8450971368048325e-10,0.9999871088485154,0.000584213648703433,1.0000000000008407,24,6.826719202544491,-0.004508255343779121,0.0005772859687099363,0.000734359411415546,0.0007848125922842559,0
conv3,baseline,reconstructed_initialization,12,8,10,10.0,2,Layer_2,positive,2.279195312017189e-06,2.2791931575459837e-06,1.6411207039709116e-10,1.0000009452780245,7.200445905769184e-05,1.0000000000004232,24,0.10356552295923918,-0.0027699781776296052,7.164217412716454e-05,9.084651755972936e-05,0.0001004934280856366,0
conv3,baseline,reconstructed_initialization,12,8,10,10.0,2,Layer_2,negative,2.2793179354043327e-06,2.2793201121906142e-06,1.6411207039709116e-10,0.9999990449843925,7.200044851943413e-05,1.0000000000004128,24,0.10356552295923918,-0.0027699781776296052,7.166180530050632e-05,9.079514247676169e-05,0.00010067683056027816,0
conv3,baseline,reconstructed_initialization,12,8,10,10.0,3,Layer_3,positive,0.0001200620983267756,0.00012006209804170402,3.480168976038078e-10,1.0000000023743678,2.898640814047101e-06,1.000000000000354,24,0.023222078133917416,0.00165188852747325,2.874002156065899e-06,3.6657052776357714e-06,4.16522614858995e-06,0
conv3,baseline,reconstructed_initialization,12,8,10,10.0,3,Layer_3,negative,0.00012006313887897759,0.00012006313916834107,3.480168976038078e-10,0.9999999975899058,2.8986156785043886e-06,1.0000000000003537,24,0.023222078133917416,0.00165188852747325,2.8744980332608473e-06,3.665391530351595e-06,4.164600732447075e-06,0
conv3,baseline,reconstructed_initialization,12,8,10,10.0,4,Layer_4,positive,0.11277350146078773,0.11277350146080131,2.3028673141709183e-10,0.9999999999998795,2.0420287428703866e-09,1.0000000000003444,24,0.006000528345136051,0.00168662415363284,2.0239532456894684e-09,2.5849742031710603e-09,2.9347087522418395e-09,0
conv3,baseline,reconstructed_initialization,12,8,10,10.0,4,Layer_4,negative,0.11277350176936592,0.11277350176935234,2.3028673141709183e-10,1.0000000000001203,2.0420287372833465e-09,1.0000000000003444,24,0.006000528345136051,0.00168662415363284,2.023953378056642e-09,2.5849740609836413e-09,2.934708678064847e-09,0
conv3,baseline,best_validation,12,8,10,10.0,1,Layer_1,positive,6.769131480035166e-07,4.579710000755032e-07,4.887727231577278e-07,1.4780698950193738,1.0672569291006342,1.0000000329028946,24,49.787236023742295,-2.872678599447717,1.1897174575885519,1.537821404808063,1.971654798624975,24
