audit_phase,model_seed,T,checkpoint_role,cohort,parameter_name,count,min_cosine,p05_cosine,median_cosine,max_norm_delta,failed
selection,0,16,best_validation,selection,ConvWeight_2,32,0.9994211615046942,0.9996762276757307,0.9999096423032978,0.00302944586664632,0
selection,0,16,best_validation,selection,DenseWeight_0,32,0.9999999861516521,0.9999999893573722,0.9999999983953183,2.4943290359612325e-05,0
selection,0,24,reconstructed_initialization,historical,ConvWeight_0,4,0.9879829873196019,0.9895438613084653,0.9989040224584487,0.03811713788977962,1
selection,0,24,reconstructed_initialization,historical,ConvWeight_1,4,0.995515341348681,0.9958323227282088,0.9976827310266123,0.008896358229375739,0
selection,0,24,reconstructed_initialization,historical,ConvWeight_2,4,0.9973547953467434,0.9973822405182522,0.99768400649761,0.00739904256482639,0
selection,0,24,reconstructed_initialization,historical,DenseWeight_0,4,0.9999921124169638,0.9999923108403701,0.9999934646478412,0.0003290987671706992,0
selection,0,24,reconstructed_initialization,selection,ConvWeight_0,32,0.967392660507693,0.9804514761311401,0.9979605725663723,0.18425966404296423,6
selection,0,24,reconstructed_initialization,selection,ConvWeight_1,32,0.9905326888506442,0.9945110224203603,0.9975749763276396,0.027298109422307443,0
selection,0,24,reconstructed_initialization,selection,ConvWeight_2,32,0.9971066352744559,0.9972549335259708,0.9978432139401111,0.007923816593707373,0
selection,0,24,reconstructed_initialization,selection,DenseWeight_0,32,0.9999918581226523,0.9999926534271839,0.9999938752744534,0.0002899070443744488,0
selection,0,24,best_validation,historical,ConvWeight_0,4,0.999992053308628,0.9999928732322286,0.9999981394058386,0.001091032495481943,0
selection,0,24,best_validation,historical,ConvWeight_1,4,0.999991210736617,0.9999915895775544,0.9999958807570992,0.0007222243456635793,0
selection,0,24,best_validation,historical,ConvWeight_2,4,0.9999437076066254,0.9999485097110689,0.9999761654437221,0.00025268152130432397,0
selection,0,24,best_validation,historical,DenseWeight_0,4,0.9999999979686461,0.9999999981222022,0.9999999992663335,4.817379051155131e-06,0
selection,0,24,best_validation,selection,ConvWeight_0,32,0.9998867450361266,0.9999198856075808,0.9999918834574488,0.015855483434957632,0
selection,0,24,best_validation,selection,ConvWeight_1,32,0.9998840900923359,0.9999270927832933,0.9999860775534821,0.007694471430450801,0
selection,0,24,best_validation,selection,ConvWeight_2,32,0.9994211615053268,0.9996762276760194,0.9999096423025173,0.0030294469230045134,0
selection,0,24,best_validation,selection,DenseWeight_0,32,0.9999999861516734,0.9999999893573743,0.9999999983953071,2.4944455925053608e-05,0
selection,0,32,reconstructed_initialization,historical,ConvWeight_0,4,0.9879829873196019,0.9895438613084653,0.9989040224584487,0.03811713788977962,1
selection,0,32,reconstructed_initialization,historical,ConvWeight_1,4,0.995515341348681,0.9958323227282088,0.9976827310266121,0.008896358229375739,0
selection,0,32,reconstructed_initialization,historical,ConvWeight_2,4,0.9973547953467433,0.9973822405182521,0.99768400649761,0.00739904256482639,0
selection,0,32,reconstructed_initialization,historical,DenseWeight_0,4,0.9999921124169638,0.9999923108403701,0.9999934646478412,0.0003290987671706992,0
selection,0,32,reconstructed_initialization,selection,ConvWeight_0,32,0.967392660507693,0.9804514761311401,0.9979605725663723,0.18425966404296423,6
selection,0,32,reconstructed_initialization,selection,ConvWeight_1,32,0.9905326888506442,0.9945110224203585,0.9975749763276396,0.027298109422307443,0
selection,0,32,reconstructed_initialization,selection,ConvWeight_2,32,0.9971066352744559,0.9972549335259708,0.9978432139401111,0.007923816593707373,0
selection,0,32,reconstructed_initialization,selection,DenseWeight_0,32,0.9999918581226523,0.9999926534271839,0.9999938752744534,0.0002899070443744488,0
selection,0,32,best_validation,historical,ConvWeight_0,4,0.9999920533086283,0.999992873232229,0.9999981394058386,0.001091032495481943,0
selection,0,32,best_validation,historical,ConvWeight_1,4,0.9999912107366214,0.9999915895775582,0.9999958807570993,0.0007222243457555833,0
selection,0,32,best_validation,historical,ConvWeight_2,4,0.9999437076066258,0.9999485097110691,0.9999761654437221,0.0002526815213197198,0
selection,0,32,best_validation,historical,DenseWeight_0,4,0.9999999979686469,0.9999999981222027,0.9999999992663335,4.817379039274003e-06,0
selection,0,32,best_validation,selection,ConvWeight_0,32,0.9998867450361266,0.9999198856075808,0.9999918834574488,0.015855483434957632,0
selection,0,32,best_validation,selection,ConvWeight_1,32,0.9998840900923379,0.9999270927832913,0.999986077553482,0.0076944714304229824,0
selection,0,32,best_validation,selection,ConvWeight_2,32,0.9994211615053268,0.9996762276760194,0.9999096423025174,0.0030294469230328067,0
selection,0,32,best_validation,selection,DenseWeight_0,32,0.9999999861516738,0.9999999893573769,0.9999999983953061,2.4944455956082878e-05,0
