scheme,role,beta,epoch,train_accuracy,validation_accuracy,train_loss,validation_loss
baseline,candidate,404.141105702,3,0.964,0.962,0.07092653510749203,0.06999681934137125
baseline,candidate,404.141105702,4,0.9683272727272727,0.964,0.06383425825322042,0.06533902487551022
baseline,candidate,404.141105702,5,0.9712,0.9672,0.059602061075333834,0.06222813374742087
baseline,candidate,404.141105702,6,0.9735272727272727,0.9676,0.056426089115279424,0.058907454479667956
baseline,candidate,404.141105702,7,0.9747818181818182,0.9684,0.054027241267408765,0.058467284364330546
baseline,candidate,404.141105702,8,0.9759636363636364,0.9704,0.05211208576488616,0.05633296595071738
baseline,candidate,404.141105702,9,0.9768,0.9698,0.05065440739031449,0.054552158176628986
baseline,candidate,404.141105702,10,0.9776363636363636,0.9716,0.04917644260968547,0.05205597956567242
legacy,candidate,2.81845428732,1,0.9431272727272727,0.9722,0.09143155678356059,0.05558042357007624
legacy,candidate,2.81845428732,2,0.9810727272727273,0.979,0.04659855479193246,0.043690008483417905
legacy,candidate,2.81845428732,3,0.9851454545454545,0.9812,0.03844443587477174,0.03770500617284058
legacy,candidate,2.81845428732,4,0.9876909090909091,0.9814,0.03371168470257693,0.03565683113548051
legacy,candidate,2.81845428732,5,0.988890909090909,0.9848,0.030603130784829537,0.033305840289642404
legacy,candidate,2.81845428732,6,0.9902363636363636,0.984,0.028230112143365724,0.03170828407414422
legacy,candidate,2.81845428732,7,0.9909454545454546,0.9826,0.02634722740148741,0.03217617680317707
legacy,candidate,2.81845428732,8,0.9918,0.9852,0.025002847041127173,0.03031148496097545
legacy,candidate,2.81845428732,9,0.9921818181818182,0.9858,0.02388467963818905,0.028578959094868635
legacy,candidate,2.81845428732,10,0.9927272727272727,0.9858,0.02272475797492826,0.028130595400189265
legacy,historical_first10,0.001,1,0.9435272727272728,0.972,0.09136980376687728,0.055755228353997766
legacy,historical_first10,0.001,2,0.9809454545454546,0.9792,0.046732591737350254,0.04424343799241869
legacy,historical_first10,0.001,3,0.9854363636363637,0.9804,0.03863673239460566,0.03798063191749942
legacy,historical_first10,0.001,4,0.9873636363636363,0.9818,0.033919143342837646,0.03540481764950683
legacy,historical_first10,0.001,5,0.9891454545454545,0.9842,0.03074839237901842,0.03325850791030089
legacy,historical_first10,0.001,6,0.9903818181818181,0.9838,0.028359742053050998,0.03156579581712159
legacy,historical_first10,0.001,7,0.9910363636363636,0.9836,0.026474585888785755,0.03247504730671146
legacy,historical_first10,0.001,8,0.9918727272727272,0.9856,0.025056547992355332,0.02986036784116353
legacy,historical_first10,0.001,9,0.9921272727272727,0.9854,0.023937777851873534,0.028157308537930463
legacy,historical_first10,0.001,10,0.9926727272727273,0.9864,0.02280755477118866,0.02782143205066854
legacy,candidate,4.42250110273,1,0.9430545454545455,0.9718,0.0913915225606088,0.05564794638190661
legacy,candidate,4.42250110273,2,0.980909090909091,0.9794,0.04644112301810158,0.043483749307226184
legacy,candidate,4.42250110273,3,0.9853090909090909,0.9812,0.03833425765461714,0.037562223454186194
legacy,candidate,4.42250110273,4,0.9875090909090909,0.9824,0.03361231456704269,0.035327685642292606
legacy,candidate,4.42250110273,5,0.9891272727272727,0.9844,0.03050258212120208,0.03325338283311604
legacy,candidate,4.42250110273,6,0.9902727272727273,0.9842,0.02818497371967424,0.031440233578976115
legacy,candidate,4.42250110273,7,0.990890909090909,0.983,0.026303902088682878,0.03182505584999569
legacy,candidate,4.42250110273,8,0.9918727272727272,0.9854,0.024947675200721157,0.030581781814198263
legacy,candidate,4.42250110273,9,0.9919818181818182,0.9858,0.023855032980067765,0.02859789505282397
legacy,candidate,4.42250110273,10,0.9926363636363637,0.9854,0.022721714424755356,0.027873238693720305
ours,candidate,2.49274796756,1,0.9405454545454546,0.9678,0.09302097045624634,0.060386847219020545
ours,candidate,2.49274796756,2,0.9772,0.9738,0.05245016738336536,0.04978588086886245
ours,candidate,2.49274796756,3,0.9814363636363637,0.978,0.04490440213349119,0.043908201846101357
ours,candidate,2.49274796756,4,0.9836727272727273,0.9776,0.04037169302540422,0.04289164123224466
ours,candidate,2.49274796756,5,0.9856181818181818,0.9802,0.037353683596430994,0.039178409561578406
ours,candidate,2.49274796756,6,0.9864727272727273,0.9812,0.03492840641113317,0.037951283142847105
ours,candidate,2.49274796756,7,0.9876545454545455,0.9792,0.03307830891063545,0.037759903763621046
ours,candidate,2.49274796756,8,0.9884181818181819,0.9808,0.03160127840155167,0.03714623153273105
ours,candidate,2.49274796756,9,0.9888545454545454,0.9834,0.0304926981212392,0.034086355989695276
ours,candidate,2.49274796756,10,0.9894727272727273,0.9848,0.02924831415763074,0.03275328810974613
ours,historical_first10,3.0,1,0.9404,0.9696,0.09307589135246282,0.06083563210844178
ours,historical_first10,3.0,2,0.9770181818181818,0.9752,0.05238920036575209,0.04990698014336247
ours,historical_first10,3.0,3,0.9815272727272727,0.9772,0.04474361968509656,0.04362756489363712
ours,historical_first10,3.0,4,0.9837818181818182,0.9776,0.040212882752592306,0.04255443880730948
ours,historical_first10,3.0,5,0.9856545454545454,0.9796,0.0371314730621607,0.039264557714126166
ours,historical_first10,3.0,6,0.9867272727272727,0.981,0.03468696962176085,0.037529157227518706
ours,historical_first10,3.0,7,0.9875090909090909,0.9798,0.03284290965203194,0.03716569550813746
ours,historical_first10,3.0,8,0.9884363636363637,0.9806,0.03134092935940948,0.0366320378581302
ours,historical_first10,3.0,9,0.9890909090909091,0.9832,0.030233667176520474,0.033462254435010226
ours,historical_first10,3.0,10,0.9895818181818182,0.9842,0.02898523571047346,0.03250609827911116
ours,candidate,5.26875648112,1,0.9402181818181818,0.9686,0.09363651499910179,0.060651116546760225
ours,candidate,5.26875648112,2,0.9773090909090909,0.9736,0.05248981393769576,0.05007425098079553
ours,candidate,5.26875648112,3,0.9813090909090909,0.9776,0.0448881281750757,0.04383772683818093
ours,candidate,5.26875648112,4,0.9835454545454545,0.9772,0.04036692709999545,0.042982487460356274
ours,candidate,5.26875648112,5,0.9854363636363637,0.9802,0.03729324972366999,0.03905380251928434
ours,candidate,5.26875648112,6,0.9864545454545455,0.9808,0.034908258786934314,0.037688022967828916
ours,candidate,5.26875648112,7,0.9874545454545455,0.9802,0.033001076421695134,0.036753422648720585
ours,candidate,5.26875648112,8,0.9881818181818182,0.9812,0.03154416497735692,0.036628695111060594
ours,candidate,5.26875648112,9,0.9887090909090909,0.9832,0.030452741826956682,0.03461484137366825
ours,candidate,5.26875648112,10,0.9891636363636364,0.9852,0.029225932728247868,0.03278995777024125
