architecture,scheme,checkpoint_role,T,K,injected_beta,batch_count,layer_batch_comparison_count,minimum_cosine,maximum_symmetric_norm_delta,gradient_fidelity_passed,all_endpoint_residual_gates_passed,worst_pooled_drift_to_response,worst_pooled_layer,worst_pooled_phase,worst_batch_drift_to_response,maximum_controlled_rms_relative_change_from_largest_T,source_case_summary,source_result_sha256
conv3,legacy,best_validation,8,8,0.001,36,144,0.999990491048787,0.0006376981663916755,True,True,1.0233878183992058,Layer_1,positive,3.0338167898278177,6.251494877318464e-10,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_legacy_seed0_T8/artifacts/case_summary.csv,922b1827799797f89dc3b01e444c0113fa2de17f9a16becab0d7b6215778d885
conv3,legacy,best_validation,10,8,0.001,36,144,0.9999904910485048,0.0006376981663917954,True,True,0.007485457381364068,Layer_1,positive,0.02792778844021247,2.265454490668617e-11,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_legacy_seed0_T10/artifacts/case_summary.csv,61172799fa2ff9f363f006ea3fd9215183a22b19cbd5bccdf264b143a0f11d1c
conv3,legacy,best_validation,12,8,0.001,36,144,0.9999904910485288,0.0006376981663917954,True,True,6.205172224496798e-05,Layer_1,positive,0.0002599566094475044,2.3447910280083306e-13,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_legacy_seed0_T12/artifacts/case_summary.csv,403bf873bca4e747f9e0767c3a8d493092341bcc10a7e6702f5903623132dfb6
conv3,legacy,best_validation,16,8,0.001,36,144,0.9999904910485287,0.0006376981663917954,True,True,6.95446831231827e-08,Layer_1,positive,2.366598890022442e-07,2.220446049250313e-16,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_legacy_seed0_T16/artifacts/case_summary.csv,cf3516163770d39001aa5e5443e91e340dac0245ea6316f0c3bff513b4cbb12d
conv3,legacy,best_validation,24,8,0.001,36,144,0.9999904910485287,0.0006376981663917954,True,True,0.0,Layer_1,positive,0.0,0.0,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_legacy_seed0_T24/artifacts/case_summary.csv,6313580917d175d573aa00a58cc29236c60cb9e6889f8eac469aa83b37fdc1ec
conv3,legacy,reconstructed_initialization,8,8,0.001,36,144,0.9999609247113058,0.003262728988660905,True,True,49.67813535110805,Layer_1,positive,66.1254403095373,1.8800498269300192e-08,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_legacy_seed0_T8/artifacts/case_summary.csv,922b1827799797f89dc3b01e444c0113fa2de17f9a16becab0d7b6215778d885
conv3,legacy,reconstructed_initialization,10,8,0.001,36,144,0.9999610053445029,0.00325956207448605,True,True,2.1260247363809506,Layer_1,positive,2.8408690232026372,5.984590600860429e-10,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_legacy_seed0_T10/artifacts/case_summary.csv,61172799fa2ff9f363f006ea3fd9215183a22b19cbd5bccdf264b143a0f11d1c
conv3,legacy,reconstructed_initialization,12,8,0.001,36,144,0.9999609968146852,0.0032624901748408495,True,True,0.09147785670794759,Layer_1,positive,0.12249547076254241,1.9824508701304921e-10,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_legacy_seed0_T12/artifacts/case_summary.csv,403bf873bca4e747f9e0767c3a8d493092341bcc10a7e6702f5903623132dfb6
conv3,legacy,reconstructed_initialization,16,8,0.001,36,144,0.9999609999372058,0.003263364125066635,True,True,0.00017064434073241457,Layer_1,positive,0.0002290251893882839,7.50566275797837e-12,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_legacy_seed0_T16/artifacts/case_summary.csv,cf3516163770d39001aa5e5443e91e340dac0245ea6316f0c3bff513b4cbb12d
conv3,legacy,reconstructed_initialization,24,8,0.001,36,144,0.9999609999372058,0.00326336412506645,True,True,1.1413161186395289e-08,Layer_1,positive,2.039910790918058e-08,0.0,results/eqprop-phase-displacement-t-sweep-20260916-v1/runs/conv3_legacy_seed0_T24/artifacts/case_summary.csv,6313580917d175d573aa00a58cc29236c60cb9e6889f8eac469aa83b37fdc1ec
