architecture,loss,n,best_mean_percent,best_sample_sd_percent,final_mean_percent,final_sample_sd_percent,parameter_count
Conv1,mse,3,96.46666666666667,0.11718930554164725,96.36666666666667,0.06110100926607346,63050
Conv1,cross_entropy,3,97.58666666666667,0.0945163125250494,97.13333333333334,0.28095076674274044,63050
Conv2,mse,3,98.19333333333333,0.1628905563049385,97.88666666666667,0.02309401076758864,50186
Conv2,cross_entropy,3,98.38000000000001,0.10583005244258674,98.14,0.15874507866387608,50186
Conv3,mse,3,99.00666666666667,0.030550504633039054,98.70666666666668,0.06110100926608122,155402
Conv3,cross_entropy,3,98.77333333333334,0.07571877794399672,98.52666666666667,0.1331665623695859,155402
